dataset,model,rmse,rank
california,PyGAM,1.428598,18
california,DT_mini,0.797055,15
california,DT_large,0.784121,13
california,OLS,2.191360,21
california,LassoCV,2.087627,19
california,RidgeCV,2.178053,20
california,RF,0.718275,8
california,GBM,0.650275,5
california,MLP,1.088485,17
california,FIGS_mini,0.754661,11
california,FIGS_large,0.737994,9
california,RuleFit,0.741651,10
california,HSTree_mini,0.795105,14
california,HSTree_large,0.768189,12
california,EBM,0.660017,6
california,TabPFN,0.603801,1
california,DecisionTreeSimple,0.806478,16
california,SegGAM_ga2m_v8,0.671350,7
california,AddGP_v45,0.642775,4
california,AddGP_v49,0.640340,3
abalone,PyGAM,0.705364,5
abalone,DT_mini,0.794185,17
abalone,DT_large,0.797057,18
abalone,OLS,0.721231,10
abalone,LassoCV,0.720338,9
abalone,RidgeCV,0.721876,11
abalone,RF,0.732093,12
abalone,GBM,0.735919,13
abalone,MLP,0.708886,6
abalone,FIGS_mini,0.793158,16
abalone,FIGS_large,0.801452,20
abalone,RuleFit,0.784597,15
abalone,HSTree_mini,0.800492,19
abalone,HSTree_large,0.769955,14
abalone,EBM,0.710895,7
abalone,TabPFN,0.670875,1
abalone,DecisionTreeSimple,0.804593,21
abalone,SegGAM_ga2m_v8,0.715632,8
abalone,AddGP_v45,0.694465,4
abalone,AddGP_v49,0.687144,3
cpu_act,PyGAM,0.173718,6
cpu_act,DT_mini,0.253144,16
cpu_act,DT_large,0.226447,12
cpu_act,OLS,0.565065,19
cpu_act,LassoCV,0.742457,20
cpu_act,RidgeCV,0.559656,18
cpu_act,RF,0.199308,9
cpu_act,GBM,0.158850,2
cpu_act,MLP,912.810974,21
cpu_act,FIGS_mini,0.239842,13
cpu_act,FIGS_large,0.199590,10
cpu_act,RuleFit,0.318561,17
cpu_act,HSTree_mini,0.253052,15
cpu_act,HSTree_large,0.224038,11
cpu_act,EBM,0.167552,5
cpu_act,TabPFN,0.138888,1
cpu_act,DecisionTreeSimple,0.248805,14
cpu_act,SegGAM_ga2m_v8,0.194317,8
cpu_act,AddGP_v45,0.183897,7
cpu_act,AddGP_v49,0.164498,4
house_16H,PyGAM,0.901921,11
house_16H,DT_mini,1.042565,18
house_16H,DT_large,1.003924,15
house_16H,OLS,1.044770,20
house_16H,LassoCV,1.042664,19
house_16H,RidgeCV,0.937416,13
house_16H,RF,0.829627,7
house_16H,GBM,0.840001,8
house_16H,MLP,1.519955,21
house_16H,FIGS_mini,1.034705,17
house_16H,FIGS_large,1.031391,16
house_16H,RuleFit,0.861472,9
house_16H,HSTree_mini,0.916714,12
house_16H,HSTree_large,0.887148,10
house_16H,EBM,0.761079,2
house_16H,TabPFN,0.728232,1
house_16H,DecisionTreeSimple,0.987097,14
house_16H,SegGAM_ga2m_v8,0.800271,4
house_16H,AddGP_v45,0.783632,3
house_16H,AddGP_v49,0.806819,6
elevators,PyGAM,0.375632,4
elevators,DT_mini,0.743616,15
elevators,DT_large,0.704357,12
elevators,OLS,0.903981,19
elevators,LassoCV,0.904215,20
elevators,RidgeCV,0.876481,18
elevators,RF,0.623118,9
elevators,GBM,0.522039,8
elevators,MLP,0.983679,21
elevators,FIGS_mini,0.748350,16
elevators,FIGS_large,0.676476,10
elevators,RuleFit,0.679608,11
elevators,HSTree_mini,0.751891,17
elevators,HSTree_large,0.723031,13
elevators,EBM,0.397748,7
elevators,TabPFN,0.292012,1
elevators,DecisionTreeSimple,0.726676,14
elevators,SegGAM_ga2m_v8,0.396490,6
elevators,AddGP_v45,0.385892,5
elevators,AddGP_v49,0.366938,3
pol,PyGAM,0.549154,17
pol,DT_mini,0.362666,14
pol,DT_large,0.338574,10
pol,OLS,0.709816,19
pol,LassoCV,0.710064,20
pol,RidgeCV,0.709213,18
pol,RF,0.274415,2
pol,GBM,0.299494,5
pol,MLP,0.724552,21
pol,FIGS_mini,0.356437,13
pol,FIGS_large,0.323908,7
pol,RuleFit,0.312670,6
pol,HSTree_mini,0.349503,11
pol,HSTree_large,0.325280,8
pol,EBM,0.350952,12
pol,TabPFN,0.141046,1
pol,DecisionTreeSimple,0.395853,16
pol,SegGAM_ga2m_v8,0.388091,15
pol,AddGP_v45,0.334436,9
pol,AddGP_v49,0.291444,4
kin8nm,PyGAM,0.804420,10
kin8nm,DT_mini,0.877689,19
kin8nm,DT_large,0.890079,21
kin8nm,OLS,0.811674,11
kin8nm,LassoCV,0.811735,13
kin8nm,RidgeCV,0.811697,12
kin8nm,RF,0.781796,8
kin8nm,GBM,0.755496,7
kin8nm,MLP,0.491650,2
kin8nm,FIGS_mini,0.849805,15
kin8nm,FIGS_large,0.802428,9
kin8nm,RuleFit,0.870177,16
kin8nm,HSTree_mini,0.874538,18
kin8nm,HSTree_large,0.870956,17
kin8nm,EBM,0.715820,5
kin8nm,TabPFN,0.376809,1
kin8nm,DecisionTreeSimple,0.880616,20
kin8nm,SegGAM_ga2m_v8,0.828388,14
kin8nm,AddGP_v45,0.729267,6
kin8nm,AddGP_v49,0.710102,4
pmlb/1027_ESL,PyGAM,0.374026,12
pmlb/1027_ESL,DT_mini,0.576479,21
pmlb/1027_ESL,DT_large,0.529210,17
pmlb/1027_ESL,OLS,0.361241,1
pmlb/1027_ESL,LassoCV,0.361351,2
pmlb/1027_ESL,RidgeCV,0.361933,4
pmlb/1027_ESL,RF,0.463850,15
pmlb/1027_ESL,GBM,0.380681,13
pmlb/1027_ESL,MLP,0.370737,9
pmlb/1027_ESL,FIGS_mini,0.539162,18
pmlb/1027_ESL,FIGS_large,0.437071,14
pmlb/1027_ESL,RuleFit,0.366258,6
pmlb/1027_ESL,HSTree_mini,0.575679,20
pmlb/1027_ESL,HSTree_large,0.519495,16
pmlb/1027_ESL,EBM,0.364431,5
pmlb/1027_ESL,TabPFN,0.373296,11
pmlb/1027_ESL,DecisionTreeSimple,0.562239,19
pmlb/1027_ESL,SegGAM_ga2m_v8,0.361403,3
pmlb/1027_ESL,AddGP_v45,0.372232,10
pmlb/1027_ESL,AddGP_v49,0.366571,8
pmlb/1028_SWD,PyGAM,0.805003,12
pmlb/1028_SWD,DT_mini,0.832135,21
pmlb/1028_SWD,DT_large,0.793244,5
pmlb/1028_SWD,OLS,0.814927,17
pmlb/1028_SWD,LassoCV,0.814599,16
pmlb/1028_SWD,RidgeCV,0.814285,15
pmlb/1028_SWD,RF,0.785704,3
pmlb/1028_SWD,GBM,0.784908,2
pmlb/1028_SWD,MLP,0.798779,8
pmlb/1028_SWD,FIGS_mini,0.805813,13
pmlb/1028_SWD,FIGS_large,0.789555,4
pmlb/1028_SWD,RuleFit,0.818640,18
pmlb/1028_SWD,HSTree_mini,0.829304,20
pmlb/1028_SWD,HSTree_large,0.798450,7
pmlb/1028_SWD,EBM,0.798100,6
pmlb/1028_SWD,TabPFN,0.784088,1
pmlb/1028_SWD,DecisionTreeSimple,0.821595,19
pmlb/1028_SWD,SegGAM_ga2m_v8,0.809480,14
pmlb/1028_SWD,AddGP_v45,0.803701,11
pmlb/1028_SWD,AddGP_v49,0.802161,10
pmlb/1029_LEV,PyGAM,0.715125,11
pmlb/1029_LEV,DT_mini,0.812829,21
pmlb/1029_LEV,DT_large,0.765185,18
pmlb/1029_LEV,OLS,0.712676,6
pmlb/1029_LEV,LassoCV,0.712556,4
pmlb/1029_LEV,RidgeCV,0.712073,3
pmlb/1029_LEV,RF,0.730984,15
pmlb/1029_LEV,GBM,0.718917,13
pmlb/1029_LEV,MLP,0.714825,10
pmlb/1029_LEV,FIGS_mini,0.744305,16
pmlb/1029_LEV,FIGS_large,0.717258,12
pmlb/1029_LEV,RuleFit,0.730124,14
pmlb/1029_LEV,HSTree_mini,0.810150,20
pmlb/1029_LEV,HSTree_large,0.761625,17
pmlb/1029_LEV,EBM,0.709299,2
pmlb/1029_LEV,TabPFN,0.706397,1
pmlb/1029_LEV,DecisionTreeSimple,0.796113,19
pmlb/1029_LEV,SegGAM_ga2m_v8,0.712670,5
pmlb/1029_LEV,AddGP_v45,0.713676,9
pmlb/1029_LEV,AddGP_v49,0.712937,8
pmlb/1030_ERA,PyGAM,0.815581,12
pmlb/1030_ERA,DT_mini,0.837160,20
pmlb/1030_ERA,DT_large,0.816910,14
pmlb/1030_ERA,OLS,0.808339,6
pmlb/1030_ERA,LassoCV,0.808425,8
pmlb/1030_ERA,RidgeCV,0.808370,7
pmlb/1030_ERA,RF,0.811911,9
pmlb/1030_ERA,GBM,0.815968,13
pmlb/1030_ERA,MLP,0.806530,5
pmlb/1030_ERA,FIGS_mini,0.831024,18
pmlb/1030_ERA,FIGS_large,0.822820,17
pmlb/1030_ERA,RuleFit,0.832883,19
pmlb/1030_ERA,HSTree_mini,0.837160,21
pmlb/1030_ERA,HSTree_large,0.821592,16
pmlb/1030_ERA,EBM,0.799223,1
pmlb/1030_ERA,TabPFN,0.805567,4
pmlb/1030_ERA,DecisionTreeSimple,0.813883,11
pmlb/1030_ERA,SegGAM_ga2m_v8,0.819571,15
pmlb/1030_ERA,AddGP_v45,0.813762,10
pmlb/1030_ERA,AddGP_v49,0.805558,3
pmlb/1089_USCrime,PyGAM,0.465245,15
pmlb/1089_USCrime,DT_mini,0.424073,11
pmlb/1089_USCrime,DT_large,0.451548,12
pmlb/1089_USCrime,OLS,0.469238,17
pmlb/1089_USCrime,LassoCV,0.382452,7
pmlb/1089_USCrime,RidgeCV,0.479195,18
pmlb/1089_USCrime,RF,0.423608,10
pmlb/1089_USCrime,GBM,0.462335,14
pmlb/1089_USCrime,MLP,56.552592,21
pmlb/1089_USCrime,FIGS_mini,0.534122,20
pmlb/1089_USCrime,FIGS_large,0.510195,19
pmlb/1089_USCrime,RuleFit,0.395474,9
pmlb/1089_USCrime,HSTree_mini,0.459856,13
pmlb/1089_USCrime,HSTree_large,0.465630,16
pmlb/1089_USCrime,EBM,0.306072,4
pmlb/1089_USCrime,TabPFN,0.346980,6
pmlb/1089_USCrime,DecisionTreeSimple,0.392294,8
pmlb/1089_USCrime,SegGAM_ga2m_v8,0.333768,5
pmlb/1089_USCrime,AddGP_v45,0.252843,1
pmlb/1089_USCrime,AddGP_v49,0.263354,3
pmlb/1096_FacultySalaries,PyGAM,0.410171,7
pmlb/1096_FacultySalaries,DT_mini,0.628538,19
pmlb/1096_FacultySalaries,DT_large,0.620941,17
pmlb/1096_FacultySalaries,OLS,0.364659,2
pmlb/1096_FacultySalaries,LassoCV,0.416282,9
pmlb/1096_FacultySalaries,RidgeCV,0.381891,5
pmlb/1096_FacultySalaries,RF,0.486246,10
pmlb/1096_FacultySalaries,GBM,0.510927,13
pmlb/1096_FacultySalaries,MLP,2.091116,21
pmlb/1096_FacultySalaries,FIGS_mini,0.628538,20
pmlb/1096_FacultySalaries,FIGS_large,0.620941,18
pmlb/1096_FacultySalaries,RuleFit,0.510835,12
pmlb/1096_FacultySalaries,HSTree_mini,0.586722,16
pmlb/1096_FacultySalaries,HSTree_large,0.578986,15
pmlb/1096_FacultySalaries,EBM,0.504250,11
pmlb/1096_FacultySalaries,TabPFN,0.275576,1
pmlb/1096_FacultySalaries,DecisionTreeSimple,0.532956,14
pmlb/1096_FacultySalaries,SegGAM_ga2m_v8,0.391098,6
pmlb/1096_FacultySalaries,AddGP_v45,0.414439,8
pmlb/1096_FacultySalaries,AddGP_v49,0.376620,4
pmlb/1191_BNG_pbc,PyGAM,0.862047,7
pmlb/1191_BNG_pbc,DT_mini,0.929181,18
pmlb/1191_BNG_pbc,DT_large,0.930181,19
pmlb/1191_BNG_pbc,OLS,0.870524,9
pmlb/1191_BNG_pbc,LassoCV,0.924760,17
pmlb/1191_BNG_pbc,RidgeCV,0.871396,10
pmlb/1191_BNG_pbc,RF,0.869216,8
pmlb/1191_BNG_pbc,GBM,0.860402,6
pmlb/1191_BNG_pbc,MLP,2.834234,21
pmlb/1191_BNG_pbc,FIGS_mini,0.918014,14
pmlb/1191_BNG_pbc,FIGS_large,0.942724,20
pmlb/1191_BNG_pbc,RuleFit,0.871873,11
pmlb/1191_BNG_pbc,HSTree_mini,0.921734,16
pmlb/1191_BNG_pbc,HSTree_large,0.901627,13
pmlb/1191_BNG_pbc,EBM,0.849706,2
pmlb/1191_BNG_pbc,TabPFN,0.833502,1
pmlb/1191_BNG_pbc,DecisionTreeSimple,0.921540,15
pmlb/1191_BNG_pbc,SegGAM_ga2m_v8,0.884378,12
pmlb/1191_BNG_pbc,AddGP_v45,0.858390,5
pmlb/1191_BNG_pbc,AddGP_v49,0.857410,4
pmlb/1193_BNG_lowbwt,PyGAM,0.662464,8
pmlb/1193_BNG_lowbwt,DT_mini,0.670626,15
pmlb/1193_BNG_lowbwt,DT_large,0.687092,20
pmlb/1193_BNG_lowbwt,OLS,0.670820,16
pmlb/1193_BNG_lowbwt,LassoCV,0.670610,14
pmlb/1193_BNG_lowbwt,RidgeCV,0.670887,17
pmlb/1193_BNG_lowbwt,RF,0.660360,7
pmlb/1193_BNG_lowbwt,GBM,0.665525,9
pmlb/1193_BNG_lowbwt,MLP,0.671479,18
pmlb/1193_BNG_lowbwt,FIGS_mini,0.665872,10
pmlb/1193_BNG_lowbwt,FIGS_large,0.698200,21
pmlb/1193_BNG_lowbwt,RuleFit,0.660247,6
pmlb/1193_BNG_lowbwt,HSTree_mini,0.669669,13
pmlb/1193_BNG_lowbwt,HSTree_large,0.668142,11
pmlb/1193_BNG_lowbwt,EBM,0.656352,5
pmlb/1193_BNG_lowbwt,TabPFN,0.647797,1
pmlb/1193_BNG_lowbwt,DecisionTreeSimple,0.686167,19
pmlb/1193_BNG_lowbwt,SegGAM_ga2m_v8,0.669222,12
pmlb/1193_BNG_lowbwt,AddGP_v45,0.650098,2
pmlb/1193_BNG_lowbwt,AddGP_v49,0.651735,4
pmlb/1196_BNG_pharynx,PyGAM,0.736410,5
pmlb/1196_BNG_pharynx,DT_mini,0.773482,19
pmlb/1196_BNG_pharynx,DT_large,0.798557,21
pmlb/1196_BNG_pharynx,OLS,0.766474,16
pmlb/1196_BNG_pharynx,LassoCV,0.768754,17
pmlb/1196_BNG_pharynx,RidgeCV,0.766429,15
pmlb/1196_BNG_pharynx,RF,0.740705,6
pmlb/1196_BNG_pharynx,GBM,0.744022,8
pmlb/1196_BNG_pharynx,MLP,0.759865,11
pmlb/1196_BNG_pharynx,FIGS_mini,0.758618,10
pmlb/1196_BNG_pharynx,FIGS_large,0.794826,20
pmlb/1196_BNG_pharynx,RuleFit,0.744078,9
pmlb/1196_BNG_pharynx,HSTree_mini,0.764356,14
pmlb/1196_BNG_pharynx,HSTree_large,0.762744,13
pmlb/1196_BNG_pharynx,EBM,0.740754,7
pmlb/1196_BNG_pharynx,TabPFN,0.725232,1
pmlb/1196_BNG_pharynx,DecisionTreeSimple,0.771233,18
pmlb/1196_BNG_pharynx,SegGAM_ga2m_v8,0.762125,12
pmlb/1196_BNG_pharynx,AddGP_v45,0.728518,4
pmlb/1196_BNG_pharynx,AddGP_v49,0.726811,3
pmlb/1199_BNG_echoMonths,PyGAM,0.746425,9
pmlb/1199_BNG_echoMonths,DT_mini,0.771996,18
pmlb/1199_BNG_echoMonths,DT_large,0.806700,21
pmlb/1199_BNG_echoMonths,OLS,0.745226,8
pmlb/1199_BNG_echoMonths,LassoCV,0.744498,6
pmlb/1199_BNG_echoMonths,RidgeCV,0.744894,7
pmlb/1199_BNG_echoMonths,RF,0.753821,14
pmlb/1199_BNG_echoMonths,GBM,0.753559,13
pmlb/1199_BNG_echoMonths,MLP,0.751409,12
pmlb/1199_BNG_echoMonths,FIGS_mini,0.763507,16
pmlb/1199_BNG_echoMonths,FIGS_large,0.797306,20
pmlb/1199_BNG_echoMonths,RuleFit,0.750700,11
pmlb/1199_BNG_echoMonths,HSTree_mini,0.762011,15
pmlb/1199_BNG_echoMonths,HSTree_large,0.764153,17
pmlb/1199_BNG_echoMonths,EBM,0.742197,5
pmlb/1199_BNG_echoMonths,TabPFN,0.741591,3
pmlb/1199_BNG_echoMonths,DecisionTreeSimple,0.777588,19
pmlb/1199_BNG_echoMonths,SegGAM_ga2m_v8,0.749261,10
pmlb/1199_BNG_echoMonths,AddGP_v45,0.741611,4
pmlb/1199_BNG_echoMonths,AddGP_v49,0.739852,2
pmlb/1201_BNG_breastTumor,PyGAM,0.946619,6
pmlb/1201_BNG_breastTumor,DT_mini,0.957695,11
pmlb/1201_BNG_breastTumor,DT_large,0.987525,20
pmlb/1201_BNG_breastTumor,OLS,0.979405,16
pmlb/1201_BNG_breastTumor,LassoCV,0.989234,21
pmlb/1201_BNG_breastTumor,RidgeCV,0.979533,17
