dataset,seed,rmse,seconds
pmlb/201_pol,0,0.368271,107.7
pmlb/201_pol,1,0.352135,106.2
pmlb/201_pol,2,0.383239,53.3
pmlb/4544_GeographicalOriginalofMusic,0,0.641827,41.7
pmlb/4544_GeographicalOriginalofMusic,1,0.654951,48.0
pmlb/4544_GeographicalOriginalofMusic,2,0.691081,45.9
pmlb/294_satellite_image,0,0.387909,24.8
pmlb/294_satellite_image,1,0.397816,27.3
pmlb/294_satellite_image,2,0.406713,26.7
pol,0,0.350373,71.5
pol,1,0.337413,60.3
pol,2,0.373573,67.4
cpu_act,0,0.167248,17.6
pmlb/197_cpu_act,0,0.167248,17.3
pmlb/573_cpu_act,0,0.167248,17.7
cpu_act,1,0.156857,17.7
pmlb/197_cpu_act,1,0.156857,17.7
pmlb/573_cpu_act,1,0.156857,17.6
cpu_act,2,0.157631,19.4
pmlb/197_cpu_act,2,0.157631,19.3
pmlb/573_cpu_act,2,0.157631,19.5
pmlb/1191_BNG_pbc,0,0.849397,12.5
pmlb/1191_BNG_pbc,1,0.816997,12.7
pmlb/1191_BNG_pbc,2,0.823455,12.6
house_16H,0,0.761079,14.3
elevators,0,0.398660,8.3
pmlb/574_house_16H,0,0.750992,21.9
house_16H,1,0.830915,12.9
elevators,1,0.385193,9.2
pmlb/574_house_16H,1,0.681340,13.1
house_16H,2,0.596478,12.6
elevators,2,0.399421,8.5
pmlb/574_house_16H,2,0.663312,13.9
pmlb/503_wind,0,0.467554,10.4
pmlb/503_wind,1,0.461529,11.9
pmlb/503_wind,2,0.491876,12.5
pmlb/227_cpu_small,0,0.192668,15.5
pmlb/562_cpu_small,0,0.192668,15.5
pmlb/227_cpu_small,1,0.181975,12.0
pmlb/562_cpu_small,1,0.181975,12.1
pmlb/227_cpu_small,2,0.180928,15.5
pmlb/562_cpu_small,2,0.180928,15.4
pmlb/1196_BNG_pharynx,0,0.740754,1.5
pmlb/1203_BNG_pwLinear,0,0.658559,1.1
pmlb/1595_poker,0,0.993027,1.4
pmlb/215_2dplanes,0,0.236124,1.1
pmlb/344_mv,0,0.054669,60.0
pmlb/564_fried,0,0.246406,11.2
pmlb/1196_BNG_pharynx,1,0.741038,2.0
pmlb/1203_BNG_pwLinear,1,0.658463,1.3
pmlb/1595_poker,1,1.008552,1.8
pmlb/215_2dplanes,1,0.240730,1.9
pmlb/344_mv,1,0.047817,51.0
pmlb/564_fried,1,0.240444,14.8
pmlb/1196_BNG_pharynx,2,0.755596,1.7
pmlb/1203_BNG_pwLinear,2,0.629234,1.2
pmlb/1595_poker,2,0.993999,1.5
pmlb/215_2dplanes,2,0.239739,1.1
pmlb/344_mv,2,0.066072,59.9
pmlb/564_fried,2,0.248708,12.0
pmlb/505_tecator,0,0.125701,68.2
pmlb/505_tecator,1,0.146309,73.1
pmlb/505_tecator,2,0.088011,104.7
pmlb/1193_BNG_lowbwt,0,0.656352,7.7
pmlb/1199_BNG_echoMonths,0,0.742197,13.5
pmlb/1201_BNG_breastTumor,0,0.938657,3.5
pmlb/1193_BNG_lowbwt,1,0.636241,9.7
pmlb/1199_BNG_echoMonths,1,0.748925,14.3
pmlb/1201_BNG_breastTumor,1,0.996903,3.6
pmlb/1193_BNG_lowbwt,2,0.635170,7.6
pmlb/1199_BNG_echoMonths,2,0.756070,13.2
pmlb/1201_BNG_breastTumor,2,0.948208,4.1
california,0,0.658122,14.9
abalone,0,0.713303,8.3
kin8nm,0,0.715929,7.2
pmlb/1028_SWD,0,0.798668,1.2
pmlb/218_house_8L,0,0.697428,5.9
pmlb/225_puma8NH,0,0.623209,7.2
pmlb/537_houses,0,0.516319,6.3
pmlb/titanic,0,0.841974,2.6
california,1,0.669863,6.8
abalone,1,0.693288,5.3
kin8nm,1,0.679695,6.6
pmlb/1028_SWD,1,0.774797,1.1
pmlb/218_house_8L,1,0.604457,6.7
pmlb/225_puma8NH,1,0.602056,7.1
pmlb/537_houses,1,0.506750,6.4
pmlb/titanic,1,0.821449,1.9
california,2,0.670829,6.0
abalone,2,0.733362,4.5
kin8nm,2,0.699034,9.9
pmlb/1028_SWD,2,0.857477,1.5
pmlb/218_house_8L,2,0.577228,10.5
pmlb/225_puma8NH,2,0.622379,8.4
pmlb/537_houses,2,0.517109,11.8
pmlb/titanic,2,0.847030,2.3
pmlb/666_rmftsa_ladata,0,0.669494,7.9
pmlb/666_rmftsa_ladata,1,0.880146,7.8
pmlb/666_rmftsa_ladata,2,0.546590,11.8
pmlb/529_pollen,0,0.477901,1.4
pmlb/529_pollen,1,0.475325,1.5
pmlb/529_pollen,2,0.455169,2.3
pmlb/1029_LEV,0,0.709276,0.3
pmlb/1030_ERA,0,0.799223,0.3
pmlb/1029_LEV,1,0.670376,0.2
pmlb/1030_ERA,1,0.820389,0.3
pmlb/1029_LEV,2,0.765763,0.3
pmlb/1030_ERA,2,0.784078,0.3
pmlb/560_bodyfat,0,0.155533,14.9
pmlb/560_bodyfat,1,0.154316,16.0
pmlb/560_bodyfat,2,0.146530,18.9
pmlb/522_pm10,0,0.825415,3.6
pmlb/547_no2,0,0.618001,3.6
pmlb/522_pm10,1,0.833302,3.5
pmlb/547_no2,1,0.548193,4.3
pmlb/522_pm10,2,0.731873,3.6
pmlb/547_no2,2,0.614298,3.3
pmlb/695_chatfield_4,0,0.371583,10.2
pmlb/695_chatfield_4,1,0.406908,13.0
pmlb/695_chatfield_4,2,0.428074,10.1
pmlb/banana,0,0.591050,1.4
pmlb/banana,1,0.621630,1.4
pmlb/banana,2,0.643045,1.6
pmlb/229_pwLinear,0,0.405762,1.0
pmlb/229_pwLinear,1,0.388705,1.0
pmlb/229_pwLinear,2,0.469016,1.5
pmlb/1027_ESL,0,0.364431,0.2
pmlb/1027_ESL,1,0.308811,0.2
pmlb/1027_ESL,2,0.411632,0.2
pmlb/561_cpu,0,0.596740,2.9
pmlb/561_cpu,1,0.078410,2.1
pmlb/561_cpu,2,0.259977,2.2
pmlb/556_analcatdata_apnea2,0,0.483866,0.4
pmlb/557_analcatdata_apnea1,0,0.420712,0.4
pmlb/556_analcatdata_apnea2,1,0.236327,0.4
pmlb/557_analcatdata_apnea1,1,0.263889,0.4
pmlb/556_analcatdata_apnea2,2,0.282978,0.3
pmlb/557_analcatdata_apnea1,2,0.210465,0.4
pmlb/690_visualizing_galaxy,0,0.143156,1.7
pmlb/690_visualizing_galaxy,1,0.152382,1.9
pmlb/690_visualizing_galaxy,2,0.169919,1.9
pmlb/230_machine_cpu,0,0.533613,1.1
pmlb/230_machine_cpu,1,0.273207,1.0
pmlb/230_machine_cpu,2,0.252408,1.0
pmlb/527_analcatdata_election2000,0,1.359261,4.9
pmlb/527_analcatdata_election2000,1,0.108773,6.0
pmlb/527_analcatdata_election2000,2,0.225792,9.9
pmlb/542_pollution,0,1.016350,4.7
pmlb/542_pollution,1,0.972204,5.0
pmlb/542_pollution,2,0.788024,4.6
pmlb/665_sleuth_case2002,0,0.873444,0.7
pmlb/665_sleuth_case2002,1,0.740751,0.7
pmlb/665_sleuth_case2002,2,0.562343,0.7
pmlb/519_vinnie,0,0.542639,0.2
pmlb/519_vinnie,1,0.488686,0.1
pmlb/519_vinnie,2,0.428202,0.1
pmlb/1089_USCrime,0,0.322660,3.4
pmlb/1089_USCrime,1,0.293594,3.4
pmlb/1089_USCrime,2,0.461632,3.4
pmlb/706_sleuth_case1202,0,0.412237,1.3
pmlb/706_sleuth_case1202,1,0.638764,1.6
