dataset,seed,rmse,seconds
pmlb/201_pol,0,0.577091,7.0
pmlb/201_pol,1,0.586310,6.3
pmlb/201_pol,2,0.565479,8.6
pmlb/4544_GeographicalOriginalofMusic,0,0.753546,14.0
pmlb/4544_GeographicalOriginalofMusic,1,0.619892,14.1
pmlb/4544_GeographicalOriginalofMusic,2,0.669731,15.5
pmlb/294_satellite_image,0,0.420923,6.0
pmlb/294_satellite_image,1,0.445474,9.3
pmlb/294_satellite_image,2,0.463124,7.2
pol,0,0.578229,4.9
pol,1,0.565358,4.5
pol,2,0.560162,4.3
cpu_act,0,0.277114,6.6
pmlb/197_cpu_act,0,0.277114,7.2
pmlb/573_cpu_act,0,0.277114,7.5
cpu_act,1,0.264689,5.6
pmlb/197_cpu_act,1,0.264689,6.4
pmlb/573_cpu_act,1,0.264689,5.5
cpu_act,2,0.205597,8.6
pmlb/197_cpu_act,2,0.205597,8.7
pmlb/573_cpu_act,2,0.205597,7.4
pmlb/1191_BNG_pbc,0,0.856055,5.6
pmlb/1191_BNG_pbc,1,0.825545,4.2
pmlb/1191_BNG_pbc,2,0.907404,4.9
house_16H,0,0.997550,7.4
elevators,0,0.500572,4.4
pmlb/574_house_16H,0,0.913519,5.7
house_16H,1,1.041562,5.5
elevators,1,0.448016,4.4
pmlb/574_house_16H,1,0.804674,5.5
house_16H,2,0.698055,5.9
elevators,2,0.647319,2.6
pmlb/574_house_16H,2,0.682420,6.9
pmlb/503_wind,0,0.495981,4.3
pmlb/503_wind,1,0.505070,4.4
pmlb/503_wind,2,0.540222,4.0
pmlb/227_cpu_small,0,0.252954,5.5
pmlb/562_cpu_small,0,0.252954,5.7
pmlb/227_cpu_small,1,0.234678,2.9
pmlb/562_cpu_small,1,0.234678,2.9
pmlb/227_cpu_small,2,0.207749,4.9
pmlb/562_cpu_small,2,0.207749,4.8
pmlb/1196_BNG_pharynx,0,0.799185,0.4
pmlb/1203_BNG_pwLinear,0,0.772117,0.3
pmlb/1595_poker,0,1.051030,0.4
pmlb/215_2dplanes,0,0.316852,0.3
pmlb/344_mv,0,0.189437,7.9
pmlb/564_fried,0,0.373134,3.2
pmlb/1196_BNG_pharynx,1,0.708541,0.6
pmlb/1203_BNG_pwLinear,1,0.720960,0.3
pmlb/1595_poker,1,1.053780,0.4
pmlb/215_2dplanes,1,0.300320,0.4
pmlb/344_mv,1,0.188698,5.3
pmlb/564_fried,1,0.392989,5.0
pmlb/1196_BNG_pharynx,2,0.782342,0.5
pmlb/1203_BNG_pwLinear,2,0.672674,0.4
pmlb/1595_poker,2,0.997048,0.5
pmlb/215_2dplanes,2,0.303668,0.5
pmlb/344_mv,2,0.171646,5.8
pmlb/564_fried,2,0.339511,4.0
pmlb/505_tecator,0,0.125701,18.5
pmlb/505_tecator,1,0.146309,16.5
