dataset,seed,rmse,seconds
pmlb/201_pol,0,0.304864,63.8
pmlb/4544_GeographicalOriginalofMusic,0,0.690099,660.3
pmlb/294_satellite_image,0,0.415767,340.3
pol,0,0.296470,184.9
cpu_act,0,0.172661,232.6
pmlb/197_cpu_act,0,0.172661,228.1
pmlb/573_cpu_act,0,0.172661,229.3
pmlb/1191_BNG_pbc,0,0.858641,137.5
house_16H,0,0.818007,164.1
elevators,0,0.371965,79.5
pmlb/574_house_16H,0,0.792377,157.6
pmlb/503_wind,0,0.489487,141.1
pmlb/227_cpu_small,0,0.202947,114.9
pmlb/562_cpu_small,0,0.202947,113.1
pmlb/1196_BNG_pharynx,0,0.727177,14.9
pmlb/1203_BNG_pwLinear,0,0.648995,10.5
pmlb/1595_poker,0,0.928365,39.3
pmlb/215_2dplanes,0,0.228595,10.0
pmlb/344_mv,0,0.053217,98.1
pmlb/564_fried,0,0.231188,141.8
pmlb/505_tecator,0,0.113794,626.2
pmlb/1193_BNG_lowbwt,0,0.652493,22.6
pmlb/1199_BNG_echoMonths,0,0.745305,83.5
pmlb/1201_BNG_breastTumor,0,0.935925,16.7
california,0,0.638976,107.6
abalone,0,0.687017,73.6
kin8nm,0,0.728734,110.5
pmlb/1028_SWD,0,0.801693,10.2
pmlb/218_house_8L,0,0.699262,85.6
pmlb/225_puma8NH,0,0.613779,111.5
pmlb/537_houses,0,0.499047,102.9
pmlb/titanic,0,0.841059,20.7
pmlb/666_rmftsa_ladata,0,0.721745,96.1
pmlb/529_pollen,0,0.484500,41.6
pmlb/1029_LEV,0,0.712165,6.0
pmlb/1030_ERA,0,0.806016,14.6
pmlb/560_bodyfat,0,0.083553,99.7
pmlb/522_pm10,0,0.814876,52.0
pmlb/547_no2,0,0.621058,40.6
pmlb/695_chatfield_4,0,0.399167,90.2
pmlb/banana,0,0.564632,10.1
pmlb/229_pwLinear,0,0.343929,4.4
pmlb/1027_ESL,0,0.366669,4.9
pmlb/561_cpu,0,0.551821,7.5
pmlb/556_analcatdata_apnea2,0,0.418255,4.5
pmlb/557_analcatdata_apnea1,0,0.352335,4.7
pmlb/690_visualizing_galaxy,0,0.151330,15.4
pmlb/230_machine_cpu,0,0.554699,7.2
pmlb/527_analcatdata_election2000,0,1.548597,23.8
pmlb/542_pollution,0,1.062216,17.6
pmlb/665_sleuth_case2002,0,0.902319,3.7
pmlb/519_vinnie,0,0.553726,2.0
pmlb/1089_USCrime,0,0.263396,10.4
pmlb/706_sleuth_case1202,0,0.477445,4.7
pmlb/210_cloud,0,0.389583,6.1
pmlb/712_chscase_geyser1,0,0.436154,5.7
pmlb/678_visualizing_environmental,0,0.723171,6.4
pmlb/659_sleuth_ex1714,0,0.539054,6.8
pmlb/687_sleuth_ex1605,0,0.774776,5.4
pmlb/663_rabe_266,0,0.040962,4.0
pmlb/1096_FacultySalaries,0,0.376653,7.2
pmlb/523_analcatdata_neavote,0,0.217849,1.5
pmlb/485_analcatdata_vehicle,0,0.780344,2.0
pmlb/228_elusage,0,0.520500,4.2
pmlb/192_vineyard,0,0.408755,2.5
