dataset,seed,rmse,seconds
pmlb/201_pol,0,0.317632,164.7
pmlb/201_pol,1,0.355461,162.2
pmlb/201_pol,2,0.342395,176.2
pmlb/4544_GeographicalOriginalofMusic,0,0.675067,1731.4
pmlb/4544_GeographicalOriginalofMusic,1,0.672302,1787.2
pmlb/4544_GeographicalOriginalofMusic,2,0.683005,1787.0
pmlb/294_satellite_image,0,0.430822,1246.2
pmlb/294_satellite_image,1,0.423379,1284.8
pmlb/294_satellite_image,2,0.439210,1271.7
pol,0,0.303607,240.9
pol,1,0.324615,244.1
pol,2,0.345422,267.7
cpu_act,0,0.163337,1102.1
pmlb/197_cpu_act,0,0.163337,1105.8
pmlb/573_cpu_act,0,0.163337,1085.5
cpu_act,1,0.156947,900.9
pmlb/197_cpu_act,1,0.156947,904.6
pmlb/573_cpu_act,1,0.156947,896.7
cpu_act,2,0.161625,1031.7
pmlb/197_cpu_act,2,0.161625,1040.9
pmlb/573_cpu_act,2,0.161625,1045.4
pmlb/1191_BNG_pbc,0,0.857452,1029.5
pmlb/1191_BNG_pbc,1,0.817735,1291.3
pmlb/1191_BNG_pbc,2,0.841258,1292.3
house_16H,0,0.803129,1115.4
elevators,0,0.369634,630.2
pmlb/574_house_16H,0,0.783760,781.0
house_16H,1,0.855330,1154.3
elevators,1,0.356873,652.3
pmlb/574_house_16H,1,0.700296,1020.5
house_16H,2,0.598269,1080.5
elevators,2,0.372506,830.4
pmlb/574_house_16H,2,0.674062,879.5
pmlb/503_wind,0,0.480078,1053.8
pmlb/503_wind,1,0.469542,972.2
pmlb/503_wind,2,0.497119,988.4
pmlb/227_cpu_small,0,0.195384,921.1
pmlb/562_cpu_small,0,0.195384,928.8
pmlb/227_cpu_small,1,0.186255,921.6
pmlb/562_cpu_small,1,0.186255,907.3
pmlb/227_cpu_small,2,0.187431,969.2
pmlb/562_cpu_small,2,0.187431,966.2
pmlb/1196_BNG_pharynx,0,0.728496,20.4
pmlb/1203_BNG_pwLinear,0,0.647979,6.4
pmlb/1595_poker,0,0.914990,320.9
pmlb/215_2dplanes,0,0.227786,6.6
pmlb/344_mv,0,0.042319,707.2
pmlb/564_fried,0,0.220121,1229.7
pmlb/1196_BNG_pharynx,1,0.739612,19.9
pmlb/1203_BNG_pwLinear,1,0.644846,6.7
pmlb/1595_poker,1,0.934693,325.9
pmlb/215_2dplanes,1,0.229804,7.0
pmlb/344_mv,1,0.044134,714.4
pmlb/564_fried,1,0.215463,1248.1
pmlb/1196_BNG_pharynx,2,0.754692,22.0
pmlb/1203_BNG_pwLinear,2,0.626969,6.2
pmlb/1595_poker,2,0.908383,316.6
pmlb/215_2dplanes,2,0.232611,6.4
pmlb/344_mv,2,0.045421,723.8
pmlb/564_fried,2,0.222972,1225.8
pmlb/1193_BNG_lowbwt,0,0.650493,43.3
pmlb/1199_BNG_echoMonths,0,0.742464,828.2
pmlb/1201_BNG_breastTumor,0,0.937982,23.1
pmlb/1193_BNG_lowbwt,1,0.632542,32.1
pmlb/1199_BNG_echoMonths,1,0.747625,835.2
pmlb/1201_BNG_breastTumor,1,0.994438,27.0
pmlb/1193_BNG_lowbwt,2,0.628316,44.0
pmlb/1199_BNG_echoMonths,2,0.751582,831.0
pmlb/1201_BNG_breastTumor,2,0.939363,21.6
california,0,0.644138,1240.4
abalone,0,0.697705,481.3
kin8nm,0,0.720631,1253.1
pmlb/1028_SWD,0,0.804029,6.6
pmlb/218_house_8L,0,0.695497,774.3
pmlb/225_puma8NH,0,0.596212,1261.9
pmlb/537_houses,0,0.493078,1744.1
pmlb/titanic,0,0.844015,34.7
california,1,0.650579,1729.7
abalone,1,0.680941,1376.8
kin8nm,1,0.682913,1847.9
pmlb/1028_SWD,1,0.776098,7.7
pmlb/218_house_8L,1,0.624471,1005.7
pmlb/225_puma8NH,1,0.561810,1560.1
pmlb/537_houses,1,0.489371,1558.9
pmlb/titanic,1,0.813101,48.5
california,2,0.636452,1590.7
abalone,2,0.703871,1145.8
kin8nm,2,0.704791,1442.1
pmlb/1028_SWD,2,0.861840,9.7
pmlb/218_house_8L,2,0.623256,820.8
pmlb/225_puma8NH,2,0.586721,1134.5
pmlb/537_houses,2,0.496461,929.9
pmlb/titanic,2,0.817154,44.4
pmlb/529_pollen,0,0.478275,116.7
pmlb/529_pollen,1,0.472586,116.4
pmlb/529_pollen,2,0.452807,100.7
pmlb/1029_LEV,0,0.713757,4.0
pmlb/1030_ERA,0,0.814551,25.9
pmlb/1029_LEV,1,0.672651,4.1
pmlb/1030_ERA,1,0.813382,29.6
pmlb/1029_LEV,2,0.768195,4.1
pmlb/1030_ERA,2,0.771105,27.1
pmlb/banana,0,0.564435,6.4
pmlb/banana,1,0.572327,5.8
pmlb/banana,2,0.596048,5.8
