dataset,seed,rmse,seconds
pmlb/201_pol,0,0.308657,115.9
pmlb/201_pol,1,0.353246,114.3
pmlb/201_pol,2,0.341818,122.2
pmlb/4544_GeographicalOriginalofMusic,0,0.682761,923.0
pmlb/4544_GeographicalOriginalofMusic,1,0.667810,916.2
pmlb/4544_GeographicalOriginalofMusic,2,0.681042,923.3
pmlb/294_satellite_image,0,0.426790,576.3
pmlb/294_satellite_image,1,0.419103,612.7
pmlb/294_satellite_image,2,0.428752,615.5
pol,0,0.301179,168.3
pol,1,0.348686,162.7
pol,2,0.335942,173.8
cpu_act,0,0.166535,490.2
pmlb/197_cpu_act,0,0.166535,504.1
pmlb/573_cpu_act,0,0.166535,495.8
cpu_act,1,0.153403,402.0
pmlb/197_cpu_act,1,0.153403,412.4
pmlb/573_cpu_act,1,0.153403,409.0
cpu_act,2,0.161990,487.6
pmlb/197_cpu_act,2,0.161990,495.7
pmlb/573_cpu_act,2,0.161990,489.9
pmlb/1191_BNG_pbc,0,0.854693,551.8
pmlb/1191_BNG_pbc,1,0.818351,567.4
pmlb/1191_BNG_pbc,2,0.840971,563.0
house_16H,0,0.804024,468.4
elevators,0,0.370310,250.6
pmlb/574_house_16H,0,0.783405,347.0
house_16H,1,0.857385,484.9
elevators,1,0.357199,297.9
pmlb/574_house_16H,1,0.698598,441.5
house_16H,2,0.598552,452.5
elevators,2,0.371494,352.7
pmlb/574_house_16H,2,0.671054,403.4
pmlb/503_wind,0,0.478867,433.9
pmlb/503_wind,1,0.466765,422.7
pmlb/503_wind,2,0.494933,428.7
pmlb/227_cpu_small,0,0.196364,416.1
pmlb/562_cpu_small,0,0.196364,416.9
pmlb/227_cpu_small,1,0.183958,407.4
pmlb/562_cpu_small,1,0.183958,400.0
pmlb/227_cpu_small,2,0.185992,411.0
pmlb/562_cpu_small,2,0.185992,401.4
pmlb/1196_BNG_pharynx,0,0.728497,19.9
pmlb/1203_BNG_pwLinear,0,0.647979,6.4
pmlb/1595_poker,0,0.914916,219.8
pmlb/215_2dplanes,0,0.227786,7.4
pmlb/344_mv,0,0.042713,299.4
pmlb/564_fried,0,0.218441,511.5
pmlb/1196_BNG_pharynx,1,0.739613,18.9
pmlb/1203_BNG_pwLinear,1,0.644846,7.0
pmlb/1595_poker,1,0.934745,213.1
pmlb/215_2dplanes,1,0.229804,7.1
pmlb/344_mv,1,0.044064,306.5
pmlb/564_fried,1,0.214791,510.2
pmlb/1196_BNG_pharynx,2,0.754691,20.8
pmlb/1203_BNG_pwLinear,2,0.626969,6.2
pmlb/1595_poker,2,0.908377,204.6
pmlb/215_2dplanes,2,0.232611,7.0
pmlb/344_mv,2,0.045502,307.1
pmlb/564_fried,2,0.221235,562.3
pmlb/505_tecator,0,0.140507,393.2
pmlb/505_tecator,1,0.109800,396.8
pmlb/505_tecator,2,0.095578,355.9
pmlb/1193_BNG_lowbwt,0,0.650582,33.0
pmlb/1199_BNG_echoMonths,0,0.743305,370.8
pmlb/1201_BNG_breastTumor,0,0.937833,22.5
pmlb/1193_BNG_lowbwt,1,0.632468,30.6
pmlb/1199_BNG_echoMonths,1,0.746800,411.0
pmlb/1201_BNG_breastTumor,1,0.994304,24.9
pmlb/1193_BNG_lowbwt,2,0.628727,34.0
pmlb/1199_BNG_echoMonths,2,0.751717,410.5
pmlb/1201_BNG_breastTumor,2,0.939398,22.4
california,0,0.643733,512.8
abalone,0,0.688600,280.5
kin8nm,0,0.720139,514.3
