dataset,seed,rmse,seconds
pmlb/201_pol,0,0.317520,41.8
pmlb/4544_GeographicalOriginalofMusic,0,0.643256,289.6
pmlb/294_satellite_image,0,0.421425,223.2
pol,0,0.328508,67.7
cpu_act,0,0.184024,137.6
pmlb/197_cpu_act,0,0.184024,138.2
pmlb/573_cpu_act,0,0.184024,134.3
pmlb/1191_BNG_pbc,0,0.856889,140.1
house_16H,0,0.778160,152.2
elevators,0,0.389388,93.9
pmlb/574_house_16H,0,0.770503,166.3
pmlb/503_wind,0,0.473892,212.8
pmlb/227_cpu_small,0,0.203739,179.8
pmlb/562_cpu_small,0,0.203739,185.2
pmlb/1196_BNG_pharynx,0,0.729438,29.3
pmlb/1595_poker,0,0.915598,163.4
pmlb/344_mv,0,0.051267,164.3
pmlb/564_fried,0,0.219895,246.8
pmlb/505_tecator,0,0.128922,587.8
pmlb/1193_BNG_lowbwt,0,0.650871,38.4
pmlb/1199_BNG_echoMonths,0,0.740426,213.0
pmlb/1201_BNG_breastTumor,0,0.937278,36.6
california,0,0.642684,254.2
abalone,0,0.686854,163.3
kin8nm,0,0.725755,234.4
pmlb/1028_SWD,0,0.803419,19.2
pmlb/218_house_8L,0,0.697643,191.0
pmlb/225_puma8NH,0,0.594636,247.9
pmlb/537_houses,0,0.510201,193.9
pmlb/titanic,0,0.847369,30.5
pmlb/666_rmftsa_ladata,0,0.709622,202.3
pmlb/529_pollen,0,0.479367,63.9
pmlb/1029_LEV,0,0.712497,5.8
pmlb/1030_ERA,0,0.808777,32.7
pmlb/560_bodyfat,0,0.052563,225.4
pmlb/522_pm10,0,0.807683,179.2
pmlb/547_no2,0,0.607734,167.2
pmlb/695_chatfield_4,0,0.388054,202.6
pmlb/banana,0,0.590605,8.2
pmlb/1027_ESL,0,0.364399,7.7
pmlb/561_cpu,0,0.519935,90.6
pmlb/556_analcatdata_apnea2,0,0.418918,5.5
pmlb/557_analcatdata_apnea1,0,0.353973,5.8
pmlb/690_visualizing_galaxy,0,0.153655,42.2
pmlb/230_machine_cpu,0,0.537850,83.3
pmlb/527_analcatdata_election2000,0,1.274801,160.6
pmlb/542_pollution,0,1.221704,138.8
pmlb/665_sleuth_case2002,0,0.864650,13.4
pmlb/519_vinnie,0,0.542115,2.2
pmlb/1089_USCrime,0,0.289593,92.2
pmlb/706_sleuth_case1202,0,0.591834,71.7
pmlb/210_cloud,0,0.274299,22.3
pmlb/712_chscase_geyser1,0,0.439950,2.4
pmlb/678_visualizing_environmental,0,0.690363,8.5
pmlb/659_sleuth_ex1714,0,0.542978,54.6
pmlb/687_sleuth_ex1605,0,1.031193,33.4
pmlb/663_rabe_266,0,0.034326,2.2
pmlb/1096_FacultySalaries,0,0.451165,10.8
pmlb/485_analcatdata_vehicle,0,0.601797,2.6
pmlb/228_elusage,0,0.514063,2.1
pmlb/192_vineyard,0,0.375646,1.3
pmlb/1203_BNG_pwLinear,0,0.648060,15.0
pmlb/215_2dplanes,0,0.227775,14.9
pmlb/229_pwLinear,0,0.296911,8.8
pmlb/523_analcatdata_neavote,0,0.211842,2.5
pmlb/201_pol,1,0.366240,72.4
pmlb/201_pol,2,0.341018,73.2
pmlb/4544_GeographicalOriginalofMusic,1,0.675460,558.1
pmlb/4544_GeographicalOriginalofMusic,2,0.651941,556.7
pmlb/294_satellite_image,1,0.417709,461.6
pmlb/294_satellite_image,2,0.429802,455.9
pol,1,0.355514,118.7
pol,2,0.335794,136.2
cpu_act,1,0.277040,186.2
pmlb/197_cpu_act,1,0.277040,186.1
pmlb/573_cpu_act,1,0.277040,150.0
cpu_act,2,0.167679,149.5
pmlb/197_cpu_act,2,0.167679,147.7
pmlb/573_cpu_act,2,0.167679,148.8
pmlb/1191_BNG_pbc,1,0.818759,140.3
pmlb/1191_BNG_pbc,2,0.841005,145.9
house_16H,1,0.858464,161.9
elevators,1,0.379015,111.0
pmlb/574_house_16H,1,0.692439,145.9
house_16H,2,0.597375,158.3
elevators,2,0.384405,122.6
pmlb/574_house_16H,2,0.668947,173.6
pmlb/503_wind,1,0.468559,186.0
pmlb/503_wind,2,0.493610,185.1
pmlb/227_cpu_small,1,0.293864,161.9
pmlb/562_cpu_small,1,0.293864,154.7
pmlb/227_cpu_small,2,0.184516,138.0
pmlb/562_cpu_small,2,0.184516,139.4
pmlb/1196_BNG_pharynx,1,0.737984,15.4
pmlb/1203_BNG_pwLinear,1,0.644552,7.2
pmlb/1595_poker,1,0.935503,110.7
pmlb/215_2dplanes,1,0.229610,8.4
pmlb/344_mv,1,0.054660,115.3
pmlb/564_fried,1,0.214928,151.0
pmlb/1196_BNG_pharynx,2,0.753617,14.9
pmlb/1203_BNG_pwLinear,2,0.627054,6.5
pmlb/1595_poker,2,0.933184,98.4
pmlb/215_2dplanes,2,0.231372,6.9
pmlb/344_mv,2,0.052068,102.8
pmlb/564_fried,2,0.221446,125.8
pmlb/505_tecator,1,0.112016,233.8
pmlb/505_tecator,2,0.092656,221.8
pmlb/1193_BNG_lowbwt,1,0.632528,11.7
