dataset,seed,rmse,seconds
pmlb/505_tecator,0,0.178060,89.7
pmlb/505_tecator,1,0.179252,89.0
pmlb/505_tecator,2,0.128732,65.0
pmlb/560_bodyfat,0,0.068718,15.4
pmlb/560_bodyfat,1,0.084998,15.8
pmlb/560_bodyfat,2,0.103408,15.4
pmlb/695_chatfield_4,0,0.385764,11.9
pmlb/695_chatfield_4,1,0.414826,9.8
pmlb/695_chatfield_4,2,0.467014,8.6
pmlb/229_pwLinear,0,0.344048,3.7
pmlb/229_pwLinear,1,0.465942,3.6
pmlb/229_pwLinear,2,0.485694,3.6
pmlb/561_cpu,0,0.384218,3.5
pmlb/561_cpu,1,0.193877,3.6
pmlb/561_cpu,2,0.197346,3.4
pmlb/690_visualizing_galaxy,0,0.178375,3.0
pmlb/690_visualizing_galaxy,1,0.180023,2.9
pmlb/690_visualizing_galaxy,2,0.176488,3.1
pmlb/230_machine_cpu,0,0.524182,3.0
pmlb/230_machine_cpu,1,0.244426,3.1
pmlb/230_machine_cpu,2,0.353269,3.0
pmlb/527_analcatdata_election2000,0,1.432937,6.9
pmlb/527_analcatdata_election2000,1,0.164810,6.7
pmlb/527_analcatdata_election2000,2,0.425976,6.8
pmlb/542_pollution,0,1.331345,7.1
pmlb/542_pollution,1,0.961697,7.2
pmlb/542_pollution,2,0.803488,7.1
pmlb/665_sleuth_case2002,0,0.911692,2.5
pmlb/665_sleuth_case2002,1,0.800334,2.3
pmlb/665_sleuth_case2002,2,0.651323,2.3
pmlb/1089_USCrime,0,0.284672,1.4
pmlb/1089_USCrime,1,0.392818,1.5
pmlb/1089_USCrime,2,0.368538,1.4
pmlb/706_sleuth_case1202,0,0.537102,2.5
pmlb/706_sleuth_case1202,1,0.713102,2.5
pmlb/706_sleuth_case1202,2,0.562209,2.6
pmlb/210_cloud,0,0.267674,2.2
pmlb/210_cloud,1,0.398047,2.2
pmlb/210_cloud,2,0.187529,2.2
pmlb/712_chscase_geyser1,0,0.429743,1.4
pmlb/712_chscase_geyser1,1,0.505976,1.4
pmlb/712_chscase_geyser1,2,0.516678,1.4
pmlb/678_visualizing_environmental,0,0.694080,1.7
pmlb/678_visualizing_environmental,1,0.622094,1.7
pmlb/678_visualizing_environmental,2,1.179591,1.7
pmlb/659_sleuth_ex1714,0,0.570008,0.8
pmlb/659_sleuth_ex1714,1,0.641454,0.8
pmlb/659_sleuth_ex1714,2,0.488665,0.8
pmlb/687_sleuth_ex1605,0,0.770600,2.3
pmlb/687_sleuth_ex1605,1,0.613371,2.3
pmlb/687_sleuth_ex1605,2,0.750057,2.2
pmlb/663_rabe_266,0,0.071932,1.4
pmlb/663_rabe_266,1,0.063668,1.3
pmlb/663_rabe_266,2,0.065747,1.3
pmlb/1096_FacultySalaries,0,0.418546,0.5
pmlb/523_analcatdata_neavote,0,0.211842,1.3
pmlb/1096_FacultySalaries,1,0.705408,0.5
pmlb/523_analcatdata_neavote,1,0.217755,1.4
pmlb/1096_FacultySalaries,2,0.455259,0.4
pmlb/523_analcatdata_neavote,2,0.226653,1.3
pmlb/485_analcatdata_vehicle,0,0.777004,0.5
pmlb/485_analcatdata_vehicle,1,0.406346,0.5
pmlb/485_analcatdata_vehicle,2,0.562305,0.4
pmlb/228_elusage,0,0.499396,1.3
pmlb/228_elusage,1,0.408184,1.4
pmlb/228_elusage,2,0.382201,1.4
pmlb/192_vineyard,0,0.448530,0.3
pmlb/192_vineyard,1,0.762520,0.3
pmlb/192_vineyard,2,1.067420,0.3
