dataset,seed,rmse,seconds
pmlb/505_tecator,0,0.133169,265.1
pmlb/505_tecator,1,0.112255,265.0
pmlb/505_tecator,2,0.098365,215.5
pmlb/560_bodyfat,0,0.065448,48.4
pmlb/560_bodyfat,1,0.108355,47.0
pmlb/560_bodyfat,2,0.087753,46.9
pmlb/695_chatfield_4,0,0.390762,34.4
pmlb/695_chatfield_4,1,0.405084,33.2
pmlb/695_chatfield_4,2,0.440037,27.1
pmlb/229_pwLinear,0,0.344048,3.1
pmlb/229_pwLinear,1,0.465942,3.2
pmlb/229_pwLinear,2,0.485694,3.0
pmlb/561_cpu,0,0.513313,3.5
pmlb/561_cpu,1,0.078827,3.7
pmlb/561_cpu,2,0.196764,3.6
pmlb/690_visualizing_galaxy,0,0.177771,3.4
pmlb/690_visualizing_galaxy,1,0.177983,4.4
pmlb/690_visualizing_galaxy,2,0.174991,3.3
pmlb/230_machine_cpu,0,0.529323,3.2
pmlb/230_machine_cpu,1,0.244326,2.6
pmlb/230_machine_cpu,2,0.352793,3.4
pmlb/527_analcatdata_election2000,0,1.404121,13.6
pmlb/527_analcatdata_election2000,1,0.051249,13.2
pmlb/527_analcatdata_election2000,2,0.146916,10.7
pmlb/542_pollution,0,1.336803,10.7
pmlb/542_pollution,1,1.252461,9.8
pmlb/542_pollution,2,0.852743,10.0
pmlb/665_sleuth_case2002,0,0.863945,2.0
pmlb/665_sleuth_case2002,1,0.724878,2.0
pmlb/665_sleuth_case2002,2,0.542723,2.0
pmlb/1089_USCrime,0,0.303018,2.0
pmlb/1089_USCrime,1,0.421859,2.2
pmlb/1089_USCrime,2,0.493501,2.0
pmlb/706_sleuth_case1202,0,0.562606,2.8
pmlb/706_sleuth_case1202,1,0.705711,2.5
pmlb/706_sleuth_case1202,2,0.555433,2.9
pmlb/210_cloud,0,0.287008,3.3
pmlb/210_cloud,1,0.357263,3.9
pmlb/210_cloud,2,0.194842,3.1
pmlb/712_chscase_geyser1,0,0.434070,1.1
pmlb/712_chscase_geyser1,1,0.497932,1.1
pmlb/712_chscase_geyser1,2,0.509896,1.1
pmlb/678_visualizing_environmental,0,0.705454,1.8
pmlb/678_visualizing_environmental,1,0.623766,2.3
pmlb/678_visualizing_environmental,2,1.181393,1.9
pmlb/659_sleuth_ex1714,0,0.555713,1.2
pmlb/659_sleuth_ex1714,1,0.587409,1.1
pmlb/659_sleuth_ex1714,2,0.465891,1.2
pmlb/687_sleuth_ex1605,0,0.815774,2.2
pmlb/687_sleuth_ex1605,1,0.769854,2.4
pmlb/687_sleuth_ex1605,2,0.744174,2.1
pmlb/663_rabe_266,0,0.071932,1.0
pmlb/663_rabe_266,1,0.063668,1.0
pmlb/663_rabe_266,2,0.065747,1.1
pmlb/1096_FacultySalaries,0,0.399810,0.6
pmlb/523_analcatdata_neavote,0,0.211842,1.1
pmlb/1096_FacultySalaries,1,0.531866,0.6
pmlb/523_analcatdata_neavote,1,0.217755,1.1
pmlb/1096_FacultySalaries,2,0.404313,0.6
pmlb/523_analcatdata_neavote,2,0.226653,1.0
pmlb/485_analcatdata_vehicle,0,0.777004,0.4
pmlb/485_analcatdata_vehicle,1,0.406346,0.4
pmlb/485_analcatdata_vehicle,2,0.562305,0.4
pmlb/228_elusage,0,0.491968,1.1
pmlb/228_elusage,1,0.337521,1.1
pmlb/228_elusage,2,0.364322,1.1
pmlb/192_vineyard,0,0.449556,0.2
pmlb/192_vineyard,1,0.562351,0.2
pmlb/192_vineyard,2,1.070211,0.2
