dataset,seed,rmse,seconds
pmlb/201_pol,0,0.308209,75.0
pmlb/4544_GeographicalOriginalofMusic,0,0.648889,447.2
pmlb/294_satellite_image,0,0.417589,313.5
pol,0,0.312672,132.2
cpu_act,0,0.183101,188.0
pmlb/197_cpu_act,0,0.183101,177.4
pmlb/573_cpu_act,0,0.183101,245.7
pmlb/1191_BNG_pbc,0,0.849124,263.3
house_16H,0,0.779443,281.5
elevators,0,0.388747,187.2
pmlb/574_house_16H,0,0.767643,243.8
pmlb/503_wind,0,0.474656,248.8
pmlb/227_cpu_small,0,0.200994,195.4
pmlb/562_cpu_small,0,0.200994,200.5
pmlb/1196_BNG_pharynx,0,0.727472,23.7
pmlb/1595_poker,0,0.916081,176.1
pmlb/344_mv,0,0.052831,179.0
pmlb/564_fried,0,0.221388,251.7
pmlb/505_tecator,0,0.117159,506.0
pmlb/1193_BNG_lowbwt,0,0.652664,34.5
pmlb/1199_BNG_echoMonths,0,0.739198,179.4
pmlb/1201_BNG_breastTumor,0,0.935290,25.0
california,0,0.646222,177.6
abalone,0,0.685442,119.4
kin8nm,0,0.721217,194.5
pmlb/1028_SWD,0,0.800819,12.2
pmlb/218_house_8L,0,0.701805,168.1
pmlb/225_puma8NH,0,0.594085,203.5
pmlb/537_houses,0,0.515329,194.7
pmlb/titanic,0,0.841785,23.0
pmlb/666_rmftsa_ladata,0,0.699435,214.5
pmlb/529_pollen,0,0.480812,49.4
pmlb/1029_LEV,0,0.712310,7.3
pmlb/1030_ERA,0,0.807220,29.6
pmlb/560_bodyfat,0,0.083571,252.0
pmlb/522_pm10,0,0.807026,181.8
pmlb/547_no2,0,0.617497,187.2
pmlb/695_chatfield_4,0,0.394742,223.8
pmlb/banana,0,0.590857,5.8
pmlb/1027_ESL,0,0.363948,8.0
pmlb/561_cpu,0,0.550896,92.1
pmlb/556_analcatdata_apnea2,0,0.420368,5.2
pmlb/557_analcatdata_apnea1,0,0.353631,5.2
pmlb/690_visualizing_galaxy,0,0.152651,33.9
pmlb/230_machine_cpu,0,0.552735,85.1
pmlb/527_analcatdata_election2000,0,1.490579,163.8
pmlb/542_pollution,0,0.828508,153.4
pmlb/665_sleuth_case2002,0,0.874291,13.4
pmlb/519_vinnie,0,0.547078,1.8
pmlb/1089_USCrime,0,0.273587,93.6
pmlb/706_sleuth_case1202,0,0.454986,64.1
pmlb/210_cloud,0,0.268496,31.0
pmlb/712_chscase_geyser1,0,0.441425,2.4
pmlb/678_visualizing_environmental,0,0.699010,8.9
pmlb/659_sleuth_ex1714,0,0.525913,93.6
pmlb/687_sleuth_ex1605,0,0.848513,56.2
pmlb/663_rabe_266,0,0.034733,2.4
pmlb/1096_FacultySalaries,0,0.364039,12.1
pmlb/485_analcatdata_vehicle,0,0.770620,4.1
pmlb/228_elusage,0,0.509455,2.5
pmlb/192_vineyard,0,0.370860,2.0
pmlb/1203_BNG_pwLinear,0,0.649665,16.3
pmlb/215_2dplanes,0,0.230248,14.9
pmlb/229_pwLinear,0,0.313460,12.5
pmlb/523_analcatdata_neavote,0,0.217854,2.8
pmlb/201_pol,1,0.358530,25.8
pmlb/201_pol,2,0.337312,26.4
pmlb/4544_GeographicalOriginalofMusic,1,0.669714,201.8
pmlb/4544_GeographicalOriginalofMusic,2,0.645206,202.3
pmlb/294_satellite_image,1,0.404789,164.7
pmlb/294_satellite_image,2,0.427752,163.9
pol,1,0.350947,38.0
pol,2,0.329842,43.8
cpu_act,1,0.279131,76.7
pmlb/197_cpu_act,1,0.279131,77.5
pmlb/573_cpu_act,1,0.279131,79.2
cpu_act,2,0.169218,88.3
pmlb/197_cpu_act,2,0.169218,90.3
pmlb/573_cpu_act,2,0.169218,90.9
pmlb/1191_BNG_pbc,1,0.813403,84.4
pmlb/1191_BNG_pbc,2,0.833406,87.0
house_16H,1,0.850499,90.1
elevators,1,0.372462,61.8
pmlb/574_house_16H,1,0.692194,86.4
house_16H,2,0.592647,88.1
elevators,2,0.386841,68.4
pmlb/574_house_16H,2,0.658916,82.0
pmlb/503_wind,1,0.466404,80.9
pmlb/503_wind,2,0.495079,83.6
pmlb/227_cpu_small,1,0.292339,74.7
pmlb/562_cpu_small,1,0.292339,70.4
pmlb/227_cpu_small,2,0.186495,64.7
pmlb/562_cpu_small,2,0.186495,66.1
pmlb/1196_BNG_pharynx,1,0.736275,6.8
pmlb/1203_BNG_pwLinear,1,0.646954,3.4
pmlb/1595_poker,1,0.934850,54.1
pmlb/215_2dplanes,1,0.231745,3.9
pmlb/344_mv,1,0.055838,55.6
pmlb/564_fried,1,0.215987,80.0
pmlb/1196_BNG_pharynx,2,0.752254,6.5
pmlb/1203_BNG_pwLinear,2,0.628744,3.3
pmlb/1595_poker,2,0.930760,52.8
pmlb/215_2dplanes,2,0.233604,3.4
pmlb/344_mv,2,0.052725,52.2
pmlb/564_fried,2,0.221941,85.1
pmlb/505_tecator,1,0.102240,200.9
pmlb/505_tecator,2,0.094227,200.0
pmlb/1193_BNG_lowbwt,1,0.634873,10.0
pmlb/1199_BNG_echoMonths,1,0.747027,76.1
pmlb/1201_BNG_breastTumor,1,0.993671,6.9
pmlb/1193_BNG_lowbwt,2,0.633064,9.1
pmlb/1199_BNG_echoMonths,2,0.755421,73.0
pmlb/1201_BNG_breastTumor,2,0.938043,8.2
california,1,0.652827,82.3
abalone,1,0.671185,71.6
kin8nm,1,0.684579,79.7
pmlb/1028_SWD,1,0.778306,4.3
pmlb/218_house_8L,1,0.623481,65.8
pmlb/225_puma8NH,1,0.561578,79.7
pmlb/537_houses,1,0.495653,79.2
pmlb/titanic,1,0.825559,7.2
california,2,0.634719,78.2
abalone,2,0.691648,62.9
kin8nm,2,0.701162,78.7
pmlb/1028_SWD,2,0.857709,4.0
pmlb/218_house_8L,2,0.603632,60.5
pmlb/225_puma8NH,2,0.585401,78.0
pmlb/537_houses,2,0.506007,75.5
pmlb/titanic,2,0.819312,7.5
pmlb/666_rmftsa_ladata,1,0.927857,78.6
pmlb/666_rmftsa_ladata,2,0.564298,78.5
pmlb/529_pollen,1,0.472331,15.3
pmlb/529_pollen,2,0.453952,14.0
pmlb/1029_LEV,1,0.667641,2.5
pmlb/1030_ERA,1,0.813847,8.7
pmlb/1029_LEV,2,0.763050,2.3
pmlb/1030_ERA,2,0.770366,7.4
pmlb/560_bodyfat,1,0.106780,95.4
pmlb/560_bodyfat,2,0.101337,94.0
pmlb/522_pm10,1,0.840563,78.1
pmlb/547_no2,1,0.527570,74.2
pmlb/522_pm10,2,0.741879,70.5
pmlb/547_no2,2,0.591897,69.5
pmlb/695_chatfield_4,1,0.379914,85.3
pmlb/695_chatfield_4,2,0.400617,84.9
pmlb/banana,1,0.595932,1.9
pmlb/banana,2,0.637046,1.8
pmlb/229_pwLinear,1,0.373769,3.1
pmlb/229_pwLinear,2,0.418932,3.1
pmlb/1027_ESL,1,0.306953,2.3
pmlb/1027_ESL,2,0.399143,2.5
pmlb/561_cpu,1,0.059284,24.8
pmlb/561_cpu,2,0.213917,27.3
pmlb/556_analcatdata_apnea2,1,0.165305,1.5
pmlb/557_analcatdata_apnea1,1,0.251784,1.5
pmlb/556_analcatdata_apnea2,2,0.273530,1.4
pmlb/557_analcatdata_apnea1,2,0.155880,1.4
pmlb/690_visualizing_galaxy,1,0.150403,11.0
pmlb/690_visualizing_galaxy,2,0.171779,10.9
pmlb/230_machine_cpu,1,0.254400,21.7
pmlb/230_machine_cpu,2,0.330777,27.9
pmlb/527_analcatdata_election2000,1,0.060228,73.8
pmlb/527_analcatdata_election2000,2,0.351787,67.6
pmlb/542_pollution,1,0.786648,70.4
pmlb/542_pollution,2,0.672321,70.9
pmlb/665_sleuth_case2002,1,0.704538,5.8
pmlb/665_sleuth_case2002,2,0.519610,6.6
pmlb/519_vinnie,1,0.482734,0.9
pmlb/519_vinnie,2,0.420862,0.9
pmlb/1089_USCrime,1,0.321549,24.8
pmlb/1089_USCrime,2,0.434206,27.5
pmlb/706_sleuth_case1202,1,0.663414,15.6
pmlb/706_sleuth_case1202,2,0.556727,14.7
pmlb/210_cloud,1,0.376739,11.1
pmlb/210_cloud,2,0.219389,11.4
pmlb/712_chscase_geyser1,1,0.514325,1.3
pmlb/712_chscase_geyser1,2,0.513421,1.2
pmlb/678_visualizing_environmental,1,0.616876,5.0
pmlb/678_visualizing_environmental,2,1.161427,4.2
pmlb/659_sleuth_ex1714,1,0.455446,54.6
pmlb/659_sleuth_ex1714,2,0.347616,51.8
pmlb/687_sleuth_ex1605,1,0.666105,36.4
pmlb/687_sleuth_ex1605,2,0.712130,33.9
pmlb/663_rabe_266,1,0.030668,2.8
pmlb/663_rabe_266,2,0.022257,1.4
pmlb/1096_FacultySalaries,1,0.559767,7.4
pmlb/523_analcatdata_neavote,1,0.218165,0.8
pmlb/1096_FacultySalaries,2,0.400975,5.8
pmlb/523_analcatdata_neavote,2,0.226644,0.7
pmlb/485_analcatdata_vehicle,1,0.390732,1.8
pmlb/485_analcatdata_vehicle,2,0.452105,1.7
pmlb/228_elusage,1,0.330629,1.4
pmlb/228_elusage,2,0.403373,1.2
pmlb/192_vineyard,1,0.605341,1.1
pmlb/192_vineyard,2,1.052101,1.0
