dataset,seed,rmse,seconds
pmlb/201_pol,0,0.339883,40.8
pmlb/201_pol,1,0.370555,42.8
pmlb/201_pol,2,0.340623,44.2
pmlb/4544_GeographicalOriginalofMusic,0,0.646758,418.4
pmlb/4544_GeographicalOriginalofMusic,1,0.705557,442.5
pmlb/4544_GeographicalOriginalofMusic,2,0.663177,442.6
pmlb/294_satellite_image,0,0.436240,338.7
pmlb/294_satellite_image,1,0.431473,298.9
pmlb/294_satellite_image,2,0.432925,296.0
pol,0,0.337279,117.8
pol,1,0.356403,113.6
pol,2,0.352536,128.1
cpu_act,0,0.183890,179.7
pmlb/197_cpu_act,0,0.183890,252.4
pmlb/573_cpu_act,0,0.183890,249.1
cpu_act,1,0.279276,259.0
pmlb/197_cpu_act,1,0.279276,253.0
pmlb/573_cpu_act,1,0.279276,183.4
cpu_act,2,0.170312,180.6
pmlb/197_cpu_act,2,0.170312,175.1
pmlb/573_cpu_act,2,0.170312,173.8
pmlb/1191_BNG_pbc,0,0.858295,154.3
pmlb/1191_BNG_pbc,1,0.817824,154.6
pmlb/1191_BNG_pbc,2,0.840695,152.0
house_16H,0,0.783624,158.3
elevators,0,0.390652,103.3
pmlb/574_house_16H,0,0.771381,121.6
house_16H,1,0.855742,150.6
elevators,1,0.376869,100.1
pmlb/574_house_16H,1,0.698173,125.5
house_16H,2,0.599636,118.4
elevators,2,0.387168,74.4
pmlb/574_house_16H,2,0.671520,96.3
pmlb/503_wind,0,0.476870,101.7
pmlb/503_wind,1,0.475114,98.0
pmlb/503_wind,2,0.497581,99.8
pmlb/227_cpu_small,0,0.201761,72.8
pmlb/562_cpu_small,0,0.201761,78.1
pmlb/227_cpu_small,1,0.297246,91.8
pmlb/562_cpu_small,1,0.297246,91.3
pmlb/227_cpu_small,2,0.186119,91.8
pmlb/562_cpu_small,2,0.186119,92.1
pmlb/1196_BNG_pharynx,0,0.728454,7.2
pmlb/1203_BNG_pwLinear,0,0.648060,4.0
pmlb/1595_poker,0,0.915236,70.5
pmlb/215_2dplanes,0,0.227775,4.2
pmlb/344_mv,0,0.051648,67.4
pmlb/564_fried,0,0.222682,100.9
pmlb/1196_BNG_pharynx,1,0.738337,8.9
pmlb/1203_BNG_pwLinear,1,0.644552,4.6
pmlb/1595_poker,1,0.934524,69.3
pmlb/215_2dplanes,1,0.229610,5.2
pmlb/344_mv,1,0.052739,67.8
pmlb/564_fried,1,0.217422,102.7
pmlb/1196_BNG_pharynx,2,0.753570,8.2
pmlb/1203_BNG_pwLinear,2,0.627054,4.3
pmlb/1595_poker,2,0.933072,63.5
pmlb/215_2dplanes,2,0.231372,4.4
pmlb/344_mv,2,0.053540,70.8
pmlb/564_fried,2,0.223997,119.0
pmlb/505_tecator,0,0.134909,266.9
pmlb/505_tecator,1,0.111674,261.5
pmlb/505_tecator,2,0.099176,258.8
pmlb/1193_BNG_lowbwt,0,0.650234,11.5
pmlb/1199_BNG_echoMonths,0,0.741137,103.4
pmlb/1201_BNG_breastTumor,0,0.939387,10.2
pmlb/1193_BNG_lowbwt,1,0.632314,12.9
pmlb/1199_BNG_echoMonths,1,0.747285,93.0
pmlb/1201_BNG_breastTumor,1,0.993214,7.8
pmlb/1193_BNG_lowbwt,2,0.629737,10.4
pmlb/1199_BNG_echoMonths,2,0.751476,78.8
pmlb/1201_BNG_breastTumor,2,0.938986,8.8
california,0,0.643616,102.0
abalone,0,0.695197,53.1
kin8nm,0,0.729300,103.0
pmlb/1028_SWD,0,0.804482,5.1
pmlb/218_house_8L,0,0.697535,86.2
pmlb/225_puma8NH,0,0.594010,98.4
pmlb/537_houses,0,0.512887,99.7
pmlb/titanic,0,0.849291,10.6
california,1,0.651679,104.5
abalone,1,0.680202,102.0
kin8nm,1,0.690367,100.7
pmlb/1028_SWD,1,0.776613,4.8
pmlb/218_house_8L,1,0.621800,79.7
pmlb/225_puma8NH,1,0.564377,106.4
pmlb/537_houses,1,0.493570,105.4
pmlb/titanic,1,0.812756,9.7
california,2,0.639862,97.2
abalone,2,0.701472,85.6
kin8nm,2,0.707697,106.5
pmlb/1028_SWD,2,0.862981,5.2
pmlb/218_house_8L,2,0.604819,83.8
pmlb/225_puma8NH,2,0.585896,97.9
pmlb/537_houses,2,0.504210,101.4
pmlb/titanic,2,0.819745,10.3
pmlb/666_rmftsa_ladata,0,0.706235,1585.4
pmlb/666_rmftsa_ladata,1,0.913836,1583.1
pmlb/666_rmftsa_ladata,2,0.568305,1575.6
pmlb/529_pollen,0,0.480665,22.3
pmlb/529_pollen,1,0.473261,677.0
pmlb/529_pollen,2,0.449751,850.3
pmlb/1029_LEV,0,0.713757,3.2
pmlb/1030_ERA,0,0.814551,11.4
pmlb/1029_LEV,1,0.672634,2.6
pmlb/1030_ERA,1,0.813413,7.6
pmlb/1029_LEV,2,0.768195,2.2
pmlb/1030_ERA,2,0.771261,7.7
pmlb/560_bodyfat,0,0.070736,112.3
pmlb/560_bodyfat,1,0.110825,109.4
pmlb/560_bodyfat,2,0.110447,112.1
pmlb/522_pm10,0,0.812366,90.3
pmlb/547_no2,0,0.608363,87.4
pmlb/522_pm10,1,0.834654,87.1
pmlb/547_no2,1,0.536106,83.1
pmlb/522_pm10,2,0.744293,82.6
pmlb/547_no2,2,0.578768,79.8
pmlb/695_chatfield_4,0,0.391774,105.2
pmlb/695_chatfield_4,1,0.407139,103.0
pmlb/695_chatfield_4,2,0.441912,103.4
pmlb/banana,0,0.590845,2.1
pmlb/banana,1,0.593933,2.4
pmlb/banana,2,0.638482,2.3
pmlb/229_pwLinear,0,0.296911,4.0
pmlb/229_pwLinear,1,0.365598,3.9
pmlb/229_pwLinear,2,0.392224,4.0
pmlb/1027_ESL,0,0.372699,3.0
pmlb/1027_ESL,1,0.308508,2.7
pmlb/1027_ESL,2,0.402366,3.0
pmlb/561_cpu,0,0.510720,35.4
pmlb/561_cpu,1,0.075178,33.3
