dataset,seed,rmse,seconds
pmlb/201_pol,0,0.501294,20.8
pmlb/201_pol,1,0.537961,26.3
pmlb/201_pol,2,0.516933,24.7
pmlb/4544_GeographicalOriginalofMusic,0,0.951720,247.3
pmlb/4544_GeographicalOriginalofMusic,1,0.757207,266.7
pmlb/4544_GeographicalOriginalofMusic,2,0.834749,264.7
pmlb/294_satellite_image,0,0.531293,204.4
pmlb/294_satellite_image,1,0.506004,187.7
pmlb/294_satellite_image,2,0.570927,174.0
pol,0,0.525123,34.3
pol,1,0.537392,37.4
pol,2,0.507370,44.4
cpu_act,0,0.226243,119.6
pmlb/197_cpu_act,0,0.226243,112.5
pmlb/573_cpu_act,0,0.226243,101.3
cpu_act,1,0.263935,95.4
pmlb/197_cpu_act,1,0.263935,91.9
pmlb/573_cpu_act,1,0.263935,89.5
cpu_act,2,0.170216,91.5
pmlb/197_cpu_act,2,0.170216,95.3
pmlb/573_cpu_act,2,0.170216,86.5
pmlb/1191_BNG_pbc,0,0.940622,38.8
pmlb/1191_BNG_pbc,1,0.920274,42.5
pmlb/1191_BNG_pbc,2,0.955548,26.0
house_16H,0,1.036121,85.4
elevators,0,0.484538,58.3
pmlb/574_house_16H,0,0.980645,80.0
house_16H,1,1.103931,98.9
elevators,1,0.382404,67.2
pmlb/574_house_16H,1,0.835770,105.2
house_16H,2,0.832906,104.2
elevators,2,0.530438,74.8
pmlb/574_house_16H,2,0.848583,92.8
pmlb/503_wind,0,0.588890,115.6
pmlb/503_wind,1,0.523928,114.7
pmlb/503_wind,2,0.566134,112.3
pmlb/227_cpu_small,0,0.251297,92.6
pmlb/562_cpu_small,0,0.251297,88.5
pmlb/227_cpu_small,1,0.292132,84.6
pmlb/562_cpu_small,1,0.292132,86.2
pmlb/227_cpu_small,2,0.193937,89.5
pmlb/562_cpu_small,2,0.193937,68.3
pmlb/1196_BNG_pharynx,0,0.791184,7.0
pmlb/1203_BNG_pwLinear,0,0.784595,5.1
pmlb/1595_poker,0,1.093947,24.0
pmlb/215_2dplanes,0,0.273528,4.4
pmlb/344_mv,0,0.095708,31.8
pmlb/564_fried,0,0.267364,83.0
pmlb/1196_BNG_pharynx,1,0.718402,10.0
pmlb/1203_BNG_pwLinear,1,0.773295,4.9
pmlb/1595_poker,1,1.113939,20.8
pmlb/215_2dplanes,1,0.281111,5.0
pmlb/344_mv,1,0.084880,44.4
pmlb/564_fried,1,0.278923,84.1
pmlb/1196_BNG_pharynx,2,0.784292,7.5
pmlb/1203_BNG_pwLinear,2,0.677092,3.9
pmlb/1595_poker,2,1.074464,25.5
pmlb/215_2dplanes,2,0.262996,3.6
pmlb/344_mv,2,0.061201,45.1
pmlb/564_fried,2,0.260019,95.1
pmlb/505_tecator,0,0.134909,212.7
pmlb/505_tecator,1,0.111674,222.9
pmlb/505_tecator,2,0.099176,224.7
pmlb/1193_BNG_lowbwt,0,0.675995,8.9
pmlb/1199_BNG_echoMonths,0,0.774478,50.9
pmlb/1201_BNG_breastTumor,0,1.052081,8.8
pmlb/1193_BNG_lowbwt,1,0.655571,11.1
pmlb/1199_BNG_echoMonths,1,0.823285,38.2
pmlb/1201_BNG_breastTumor,1,1.010163,8.7
pmlb/1193_BNG_lowbwt,2,0.656909,10.0
pmlb/1199_BNG_echoMonths,2,0.825551,66.0
pmlb/1201_BNG_breastTumor,2,0.976706,7.9
california,0,0.779886,90.6
abalone,0,0.751876,68.8
kin8nm,0,0.883840,89.1
pmlb/1028_SWD,0,0.881885,4.7
pmlb/218_house_8L,0,0.830709,67.0
pmlb/225_puma8NH,0,0.648141,89.9
pmlb/537_houses,0,0.592973,91.2
