dataset,seed,rmse,seconds
pmlb/201_pol,0,0.297687,155.5
pmlb/201_pol,1,0.325029,155.8
pmlb/201_pol,2,0.334497,162.8
pmlb/4544_GeographicalOriginalofMusic,0,0.668121,1202.1
pmlb/4544_GeographicalOriginalofMusic,1,0.668030,1208.5
pmlb/4544_GeographicalOriginalofMusic,2,0.668854,1166.7
pmlb/294_satellite_image,0,0.430374,882.3
pmlb/294_satellite_image,1,0.405421,949.7
pmlb/294_satellite_image,2,0.427857,949.5
pol,0,0.291338,311.9
pol,1,0.322039,329.3
pol,2,0.319217,334.0
cpu_act,0,0.164318,841.7
pmlb/197_cpu_act,0,0.164318,855.7
pmlb/573_cpu_act,0,0.164318,853.1
cpu_act,1,0.156422,572.6
pmlb/197_cpu_act,1,0.156422,559.5
pmlb/573_cpu_act,1,0.156422,561.4
cpu_act,2,0.161625,711.2
pmlb/197_cpu_act,2,0.161625,733.3
pmlb/573_cpu_act,2,0.161625,731.7
pmlb/1191_BNG_pbc,0,0.856459,742.6
pmlb/1191_BNG_pbc,1,0.815041,727.7
pmlb/1191_BNG_pbc,2,0.833669,725.3
house_16H,0,0.807121,615.7
elevators,0,0.368761,324.9
pmlb/574_house_16H,0,0.778356,475.7
house_16H,1,0.856820,721.7
elevators,1,0.358008,437.3
pmlb/574_house_16H,1,0.708178,613.3
house_16H,2,0.592377,529.3
elevators,2,0.371939,390.7
pmlb/574_house_16H,2,0.674008,408.3
pmlb/503_wind,0,0.477787,444.7
pmlb/503_wind,1,0.464647,415.5
pmlb/503_wind,2,0.497073,424.1
pmlb/227_cpu_small,0,0.195988,400.7
pmlb/562_cpu_small,0,0.195988,399.1
pmlb/227_cpu_small,1,0.185371,387.4
pmlb/562_cpu_small,1,0.185371,432.0
pmlb/227_cpu_small,2,0.186228,461.1
pmlb/562_cpu_small,2,0.186228,462.4
pmlb/1196_BNG_pharynx,0,0.726971,21.7
pmlb/1203_BNG_pwLinear,0,0.650029,7.1
pmlb/1595_poker,0,0.925044,228.7
pmlb/215_2dplanes,0,0.230831,7.3
pmlb/344_mv,0,0.046239,324.6
pmlb/564_fried,0,0.220430,558.2
pmlb/1196_BNG_pharynx,1,0.735718,20.4
pmlb/1203_BNG_pwLinear,1,0.647914,7.0
pmlb/1595_poker,1,0.942524,222.6
pmlb/215_2dplanes,1,0.233358,7.4
pmlb/344_mv,1,0.046828,334.4
pmlb/564_fried,1,0.215362,561.4
pmlb/1196_BNG_pharynx,2,0.753116,23.1
pmlb/1203_BNG_pwLinear,2,0.628972,7.2
pmlb/1595_poker,2,0.919265,225.9
pmlb/215_2dplanes,2,0.235840,6.8
pmlb/344_mv,2,0.048421,336.7
pmlb/564_fried,2,0.223565,605.0
pmlb/505_tecator,0,0.112516,399.0
pmlb/505_tecator,1,0.094625,399.6
pmlb/505_tecator,2,0.076065,369.9
pmlb/1193_BNG_lowbwt,0,0.651758,36.2
pmlb/1199_BNG_echoMonths,0,0.741429,407.0
pmlb/1201_BNG_breastTumor,0,0.934409,24.3
pmlb/1193_BNG_lowbwt,1,0.634979,35.1
pmlb/1199_BNG_echoMonths,1,0.747065,467.1
pmlb/1201_BNG_breastTumor,1,0.992673,27.0
pmlb/1193_BNG_lowbwt,2,0.632407,38.2
pmlb/1199_BNG_echoMonths,2,0.757295,460.6
pmlb/1201_BNG_breastTumor,2,0.938525,21.7
california,0,0.639730,569.5
abalone,0,0.687297,316.9
kin8nm,0,0.710982,600.6
pmlb/1028_SWD,0,0.802157,6.7
pmlb/218_house_8L,0,0.699793,438.3
pmlb/225_puma8NH,0,0.593712,580.5
pmlb/537_houses,0,0.493042,551.7
pmlb/titanic,0,0.843242,36.0
california,1,0.650603,549.2
abalone,1,0.670467,410.3
kin8nm,1,0.671667,553.9
pmlb/1028_SWD,1,0.775953,6.6
pmlb/218_house_8L,1,0.626030,406.0
pmlb/225_puma8NH,1,0.560770,555.5
pmlb/537_houses,1,0.496418,561.6
pmlb/titanic,1,0.827892,34.1
california,2,0.630979,566.4
abalone,2,0.693080,413.9
kin8nm,2,0.694187,554.8
pmlb/1028_SWD,2,0.859748,6.4
pmlb/218_house_8L,2,0.628229,330.0
pmlb/225_puma8NH,2,0.584801,551.1
pmlb/537_houses,2,0.501565,511.3
pmlb/titanic,2,0.821498,37.7
pmlb/666_rmftsa_ladata,0,0.702388,92.2
pmlb/666_rmftsa_ladata,1,0.922547,94.2
pmlb/666_rmftsa_ladata,2,0.559024,97.0
pmlb/529_pollen,0,0.480101,75.1
pmlb/529_pollen,1,0.473023,78.2
pmlb/529_pollen,2,0.457305,74.5
pmlb/1029_LEV,0,0.712937,5.0
pmlb/1030_ERA,0,0.805277,24.7
pmlb/1029_LEV,1,0.668560,4.8
pmlb/1030_ERA,1,0.809762,24.3
pmlb/1029_LEV,2,0.764870,4.4
pmlb/1030_ERA,2,0.770295,23.6
pmlb/560_bodyfat,0,0.090167,56.4
pmlb/560_bodyfat,1,0.107584,54.8
pmlb/560_bodyfat,2,0.128859,59.6
pmlb/522_pm10,0,0.819923,67.7
pmlb/547_no2,0,0.614785,67.6
pmlb/522_pm10,1,0.824341,64.8
pmlb/547_no2,1,0.515055,63.4
pmlb/522_pm10,2,0.767445,58.9
pmlb/547_no2,2,0.598097,50.6
pmlb/695_chatfield_4,0,0.398646,40.2
pmlb/695_chatfield_4,1,0.383113,38.5
pmlb/695_chatfield_4,2,0.399739,39.4
pmlb/banana,0,0.564123,3.7
pmlb/banana,1,0.572871,4.0
pmlb/banana,2,0.594870,3.5
pmlb/229_pwLinear,0,0.345503,1.6
pmlb/229_pwLinear,1,0.465490,1.6
pmlb/229_pwLinear,2,0.440453,1.6
pmlb/1027_ESL,0,0.367136,2.6
pmlb/1027_ESL,1,0.307138,2.4
pmlb/1027_ESL,2,0.398442,2.4
pmlb/561_cpu,0,0.549688,3.7
pmlb/561_cpu,1,0.053587,5.2
pmlb/561_cpu,2,0.195222,4.8
pmlb/556_analcatdata_apnea2,0,0.420857,2.0
pmlb/557_analcatdata_apnea1,0,0.354177,2.4
pmlb/556_analcatdata_apnea2,1,0.172263,2.2
pmlb/557_analcatdata_apnea1,1,0.252328,2.1
pmlb/556_analcatdata_apnea2,2,0.273382,2.2
pmlb/557_analcatdata_apnea1,2,0.154473,2.5
pmlb/690_visualizing_galaxy,0,0.159374,11.8
pmlb/690_visualizing_galaxy,1,0.148557,11.9
