suite,dataset,model,rmse,seconds
classic7,abalone,FIGS,0.745893,0
classic7,abalone,RuleFit,0.711007,10
classic7,abalone,HSTree,0.738234,0
classic7,abalone,DecisionTree,0.732548,0
classic7,abalone,MLP,0.684969,0
classic7,cpu_act,FIGS,0.173793,1
classic7,cpu_act,RuleFit,0.243734,24
classic7,cpu_act,HSTree,0.195707,0
classic7,cpu_act,DecisionTree,0.195793,0
classic7,cpu_act,MLP,447.907320,1
classic7,kin8nm,FIGS,0.728713,1
classic7,kin8nm,RuleFit,0.768981,15
classic7,kin8nm,HSTree,0.798149,0
classic7,kin8nm,DecisionTree,0.800293,0
classic7,kin8nm,MLP,0.293697,1
classic7,pol,FIGS,0.255212,0
classic7,pol,RuleFit,0.283729,21
classic7,pol,HSTree,0.262870,0
classic7,pol,DecisionTree,0.262898,0
classic7,pol,MLP,0.298228,1
classic7,elevators,FIGS,0.606241,1
classic7,elevators,RuleFit,0.475045,21
classic7,elevators,HSTree,0.626796,0
classic7,elevators,DecisionTree,0.626467,0
classic7,elevators,MLP,0.859976,1
classic7,california,FIGS,0.645964,1
classic7,california,RuleFit,0.725139,13
classic7,california,HSTree,0.718642,0
classic7,california,DecisionTree,0.718540,0
classic7,california,MLP,0.902447,0
classic7,house_16H,FIGS,0.820699,2
classic7,house_16H,RuleFit,0.783262,22
classic7,house_16H,HSTree,0.801447,0
classic7,house_16H,DecisionTree,0.800229,0
classic7,house_16H,MLP,2.654074,0
tabarena,airfoil,FIGS,0.533233,0
tabarena,airfoil,RuleFit,0.589483,1
tabarena,airfoil,HSTree,0.638887,0
tabarena,airfoil,DecisionTree,0.637744,0
tabarena,airfoil,MLP,0.880053,0
tabarena,Fiat,FIGS,0.436437,0
tabarena,Fiat,RuleFit,0.421830,2
tabarena,Fiat,HSTree,0.449521,0
tabarena,Fiat,DecisionTree,0.448939,0
tabarena,Fiat,MLP,2.992767,0
tabarena,concrete,FIGS,0.363846,0
tabarena,concrete,RuleFit,0.401444,2
tabarena,concrete,HSTree,0.494404,0
tabarena,concrete,DecisionTree,0.493505,0
tabarena,concrete,MLP,0.801787,0
tabarena,diamonds,FIGS,0.232127,1
tabarena,diamonds,RuleFit,0.278424,89
tabarena,diamonds,HSTree,0.252139,0
tabarena,diamonds,DecisionTree,0.252158,0
tabarena,diamonds,MLP,0.270291,2
tabarena,Food,FIGS,0.823067,1
tabarena,Food,RuleFit,0.834929,39
tabarena,Food,HSTree,0.829846,0
tabarena,Food,DecisionTree,0.829873,0
tabarena,Food,MLP,0.916313,1
tabarena,healthcare,FIGS,0.304224,0
tabarena,healthcare,RuleFit,0.293260,8
tabarena,healthcare,HSTree,0.318619,0
tabarena,healthcare,DecisionTree,0.331370,0
tabarena,healthcare,MLP,0.425644,0
tabarena,houses,FIGS,0.536687,1
tabarena,houses,RuleFit,0.577444,15
tabarena,houses,HSTree,0.615289,0
tabarena,houses,DecisionTree,0.615166,0
tabarena,houses,MLP,1.648846,0
tabarena,miami,FIGS,0.456117,1
tabarena,miami,RuleFit,0.463211,8
tabarena,miami,HSTree,0.538468,0
tabarena,miami,DecisionTree,0.539269,0
tabarena,miami,MLP,48.403797,1
tabarena,protein,FIGS,0.838765,2
tabarena,protein,RuleFit,0.850016,36
tabarena,protein,HSTree,0.851990,0
tabarena,protein,DecisionTree,0.851985,0
tabarena,protein,MLP,68.945793,1
tabarena,QSAR,FIGS,0.701130,1
tabarena,QSAR,RuleFit,0.781845,9
tabarena,QSAR,HSTree,0.736448,0
tabarena,QSAR,DecisionTree,0.734382,0
tabarena,QSAR,MLP,0.509906,1
tabarena,fish,FIGS,0.838434,0
tabarena,fish,RuleFit,0.703157,1
tabarena,fish,HSTree,0.729386,0
tabarena,fish,DecisionTree,0.767721,0
tabarena,fish,MLP,0.661879,0
tabarena,supercon,FIGS,0.454517,4
tabarena,supercon,RuleFit,0.487992,130
tabarena,supercon,HSTree,0.453505,1
tabarena,supercon,DecisionTree,0.453507,0
tabarena,supercon,MLP,11.031246,1
tabarena,wine,FIGS,0.820973,0
tabarena,wine,RuleFit,0.824603,2
tabarena,wine,HSTree,0.836929,0
tabarena,wine,DecisionTree,0.840655,0
tabarena,wine,MLP,0.813212,0
ctr23,abalone,FIGS,0.718461,0
ctr23,abalone,RuleFit,0.717984,3
ctr23,abalone,HSTree,0.726852,0
ctr23,abalone,DecisionTree,0.726093,0
ctr23,abalone,MLP,0.681973,0
ctr23,auction_verification,FIGS,0.149119,0
ctr23,auction_verification,RuleFit,0.183630,1
ctr23,auction_verification,HSTree,0.164897,0
ctr23,auction_verification,DecisionTree,0.164919,0
ctr23,auction_verification,MLP,0.655036,0
ctr23,geographical_origin_of_music,FIGS,1.012625,0
ctr23,geographical_origin_of_music,RuleFit,0.871771,1
ctr23,geographical_origin_of_music,HSTree,0.931453,0
ctr23,geographical_origin_of_music,DecisionTree,1.004826,0
ctr23,geographical_origin_of_music,MLP,0.972689,0
ctr23,solar_flare,FIGS,1.119663,0
ctr23,solar_flare,RuleFit,0.977994,1
ctr23,solar_flare,HSTree,1.018585,0
ctr23,solar_flare,DecisionTree,1.115172,0
ctr23,solar_flare,MLP,0.996420,0
ctr23,naval_propulsion_plant,FIGS,0.506023,0
ctr23,naval_propulsion_plant,RuleFit,0.758666,2
ctr23,naval_propulsion_plant,HSTree,0.517492,0
ctr23,naval_propulsion_plant,DecisionTree,0.517516,0
ctr23,naval_propulsion_plant,MLP,1.615143,1
ctr23,white_wine,FIGS,0.818423,0
ctr23,white_wine,RuleFit,0.830165,2
ctr23,white_wine,HSTree,0.832757,0
ctr23,white_wine,DecisionTree,0.838879,0
ctr23,white_wine,MLP,0.836114,1
ctr23,red_wine,FIGS,0.841879,0
ctr23,red_wine,RuleFit,0.784139,1
ctr23,red_wine,HSTree,0.821402,0
ctr23,red_wine,DecisionTree,0.827679,0
ctr23,red_wine,MLP,0.802032,0
ctr23,grid_stability,FIGS,0.448455,1
ctr23,grid_stability,RuleFit,0.611056,2
ctr23,grid_stability,HSTree,0.713141,0
ctr23,grid_stability,DecisionTree,0.714541,0
ctr23,grid_stability,MLP,0.228574,1
ctr23,video_transcoding,FIGS,0.362408,2
ctr23,video_transcoding,RuleFit,0.421617,10
ctr23,video_transcoding,HSTree,0.387720,0
ctr23,video_transcoding,DecisionTree,0.387729,0
ctr23,video_transcoding,MLP,6435.887934,2
ctr23,wave_energy,FIGS,0.520587,43
ctr23,wave_energy,RuleFit,0.640469,16
ctr23,wave_energy,HSTree,0.784386,3
ctr23,wave_energy,DecisionTree,0.784389,1
ctr23,wave_energy,MLP,125.082361,1
ctr23,sarcos,FIGS,0.419619,6
ctr23,sarcos,RuleFit,0.325088,34
ctr23,sarcos,HSTree,0.493647,1
ctr23,sarcos,DecisionTree,0.493702,0
ctr23,sarcos,MLP,0.159960,3
ctr23,california_housing,FIGS,0.561048,1
ctr23,california_housing,RuleFit,0.578554,9
ctr23,california_housing,HSTree,0.634881,0
ctr23,california_housing,DecisionTree,0.634924,0
ctr23,california_housing,MLP,3.447925,0
ctr23,cpu_activity,FIGS,0.173793,1
ctr23,cpu_activity,RuleFit,0.243734,8
ctr23,cpu_activity,HSTree,0.195707,0
ctr23,cpu_activity,DecisionTree,0.195793,0
ctr23,cpu_activity,MLP,447.786072,0
