dataset,seed,rmse,seconds
pol,0,0.262711,28.1
pol,1,0.271334,36.1
pol,2,0.258134,25.5
cpu_act,0,0.132736,16.2
cpu_act,1,0.130586,15.8
cpu_act,2,0.131007,15.4
house_16H,0,0.763968,10.2
elevators,0,0.348255,8.6
house_16H,1,0.827669,10.3
elevators,1,0.343178,9.4
house_16H,2,0.720248,10.1
elevators,2,0.350782,9.4
california,0,0.615433,8.5
kin8nm,0,0.649297,4.4
california,1,0.597726,6.9
kin8nm,1,0.643368,4.6
california,2,0.603608,7.1
kin8nm,2,0.661474,5.3
abalone,0,0.675781,3.2
abalone,1,0.644576,3.3
abalone,2,0.693399,3.2
