version,commit,model,dataset,rmse,seconds
v1,fbee076,SegGAM_pspline_v1,california,0.921865,0
v1,fbee076,SegGAM_pspline_v1,abalone,0.727718,0
v1,fbee076,SegGAM_pspline_v1,cpu_act,0.415104,0
v1,fbee076,SegGAM_pspline_v1,house_16H,0.822888,0
v1,fbee076,SegGAM_pspline_v1,elevators,0.412999,0
v1,fbee076,SegGAM_pspline_v1,pol,0.611104,0
v1,fbee076,SegGAM_pspline_v1,kin8nm,0.847039,0
v1,fbee076,SegGAM_pspline_v1,pmlb/1027_ESL,0.359993,0
v1,fbee076,SegGAM_pspline_v1,pmlb/1028_SWD,0.807162,0
v1,fbee076,SegGAM_pspline_v1,pmlb/1029_LEV,0.711710,0
v1,fbee076,SegGAM_pspline_v1,pmlb/1030_ERA,0.866854,0
v1,fbee076,SegGAM_pspline_v1,pmlb/1089_USCrime,0.538400,0
v1,fbee076,SegGAM_pspline_v1,pmlb/1096_FacultySalaries,0.673783,0
v1,fbee076,SegGAM_pspline_v1,pmlb/1191_BNG_pbc,0.882307,0
v1,fbee076,SegGAM_pspline_v1,pmlb/1193_BNG_lowbwt,0.667960,0
v1,fbee076,SegGAM_pspline_v1,pmlb/1196_BNG_pharynx,0.763985,0
v1,fbee076,SegGAM_pspline_v1,pmlb/1199_BNG_echoMonths,0.745435,0
v1,fbee076,SegGAM_pspline_v1,pmlb/1201_BNG_breastTumor,0.977930,0
v1,fbee076,SegGAM_pspline_v1,pmlb/1203_BNG_pwLinear,0.705674,0
v1,fbee076,SegGAM_pspline_v1,pmlb/1595_poker,1.011207,0
v1,fbee076,SegGAM_pspline_v1,pmlb/192_vineyard,0.443230,0
v1,fbee076,SegGAM_pspline_v1,pmlb/197_cpu_act,0.415104,0
v1,fbee076,SegGAM_pspline_v1,pmlb/201_pol,0.611104,0
v1,fbee076,SegGAM_pspline_v1,pmlb/210_cloud,0.289204,0
v1,fbee076,SegGAM_pspline_v1,pmlb/215_2dplanes,0.545924,0
v1,fbee076,SegGAM_pspline_v1,pmlb/218_house_8L,0.753150,0
v1,fbee076,SegGAM_pspline_v1,pmlb/225_puma8NH,0.747047,0
v1,fbee076,SegGAM_pspline_v1,pmlb/227_cpu_small,0.369676,0
v1,fbee076,SegGAM_pspline_v1,pmlb/228_elusage,0.468373,0
v1,fbee076,SegGAM_pspline_v1,pmlb/229_pwLinear,0.392099,0
v1,fbee076,SegGAM_pspline_v1,pmlb/230_machine_cpu,0.362317,0
v1,fbee076,SegGAM_pspline_v1,pmlb/294_satellite_image,0.519072,0
v1,fbee076,SegGAM_pspline_v1,pmlb/344_mv,0.433093,0
v1,fbee076,SegGAM_pspline_v1,pmlb/4544_GeographicalOriginalofMusic,0.644807,0
v1,fbee076,SegGAM_pspline_v1,pmlb/485_analcatdata_vehicle,0.793764,0
v1,fbee076,SegGAM_pspline_v1,pmlb/503_wind,0.475644,0
v1,fbee076,SegGAM_pspline_v1,pmlb/505_tecator,0.155928,0
v1,fbee076,SegGAM_pspline_v1,pmlb/519_vinnie,0.525558,0
v1,fbee076,SegGAM_pspline_v1,pmlb/522_pm10,0.938151,0
v1,fbee076,SegGAM_pspline_v1,pmlb/523_analcatdata_neavote,0.205028,0
v1,fbee076,SegGAM_pspline_v1,pmlb/527_analcatdata_election2000,4.434648,0
v1,fbee076,SegGAM_pspline_v1,pmlb/529_pollen,0.461066,0
v1,fbee076,SegGAM_pspline_v1,pmlb/537_houses,0.554976,0
v1,fbee076,SegGAM_pspline_v1,pmlb/542_pollution,1.539529,0
v1,fbee076,SegGAM_pspline_v1,pmlb/547_no2,0.669035,0
v1,fbee076,SegGAM_pspline_v1,pmlb/556_analcatdata_apnea2,1.423182,0
v1,fbee076,SegGAM_pspline_v1,pmlb/557_analcatdata_apnea1,1.327174,0
v1,fbee076,SegGAM_pspline_v1,pmlb/560_bodyfat,0.026321,0
v1,fbee076,SegGAM_pspline_v1,pmlb/561_cpu,0.311252,0
v1,fbee076,SegGAM_pspline_v1,pmlb/562_cpu_small,0.369676,0
v1,fbee076,SegGAM_pspline_v1,pmlb/564_fried,0.345150,0
v1,fbee076,SegGAM_pspline_v1,pmlb/573_cpu_act,0.415104,0
v1,fbee076,SegGAM_pspline_v1,pmlb/574_house_16H,0.844390,0
v1,fbee076,SegGAM_pspline_v1,pmlb/659_sleuth_ex1714,0.599498,0
v1,fbee076,SegGAM_pspline_v1,pmlb/663_rabe_266,0.167920,0
v1,fbee076,SegGAM_pspline_v1,pmlb/665_sleuth_case2002,0.815161,0
v1,fbee076,SegGAM_pspline_v1,pmlb/666_rmftsa_ladata,0.675462,0
v1,fbee076,SegGAM_pspline_v1,pmlb/678_visualizing_environmental,0.730259,0
v1,fbee076,SegGAM_pspline_v1,pmlb/687_sleuth_ex1605,0.898171,0
v1,fbee076,SegGAM_pspline_v1,pmlb/690_visualizing_galaxy,0.194751,0
v1,fbee076,SegGAM_pspline_v1,pmlb/695_chatfield_4,0.659992,0
v1,fbee076,SegGAM_pspline_v1,pmlb/706_sleuth_case1202,0.692885,0
v1,fbee076,SegGAM_pspline_v1,pmlb/712_chscase_geyser1,0.441365,0
v1,fbee076,SegGAM_pspline_v1,pmlb/banana,0.872488,0
v1,fbee076,SegGAM_pspline_v1,pmlb/titanic,0.868100,0
v4,f5068f5,SegGAM_ga2m_v4,california,0.935153,0
v4,f5068f5,SegGAM_ga2m_v4,abalone,0.722672,0
v4,f5068f5,SegGAM_ga2m_v4,cpu_act,0.232393,0
v4,f5068f5,SegGAM_ga2m_v4,house_16H,0.798631,0
v4,f5068f5,SegGAM_ga2m_v4,elevators,0.395736,0
v4,f5068f5,SegGAM_ga2m_v4,pol,0.489935,0
v4,f5068f5,SegGAM_ga2m_v4,kin8nm,0.828804,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/1027_ESL,0.361242,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/1028_SWD,0.809456,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/1029_LEV,0.712670,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/1030_ERA,0.820734,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/1089_USCrime,0.333768,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/1096_FacultySalaries,0.391098,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/1191_BNG_pbc,0.884455,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/1193_BNG_lowbwt,0.669222,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/1196_BNG_pharynx,0.762184,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/1199_BNG_echoMonths,0.749695,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/1201_BNG_breastTumor,0.959486,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/1203_BNG_pwLinear,0.679466,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/1595_poker,1.011207,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/192_vineyard,0.439719,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/197_cpu_act,0.232393,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/201_pol,0.489935,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/210_cloud,0.293099,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/215_2dplanes,0.345220,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/218_house_8L,0.707157,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/225_puma8NH,0.672490,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/227_cpu_small,0.236235,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/228_elusage,0.504099,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/229_pwLinear,0.340901,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/230_machine_cpu,0.459822,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/294_satellite_image,0.449319,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/344_mv,0.277913,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/4544_GeographicalOriginalofMusic,0.635007,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/485_analcatdata_vehicle,0.793527,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/503_wind,0.466548,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/505_tecator,0.118958,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/519_vinnie,0.530959,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/522_pm10,0.854756,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/523_analcatdata_neavote,0.205261,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/527_analcatdata_election2000,3.443614,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/529_pollen,0.461841,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/537_houses,0.542441,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/542_pollution,1.263786,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/547_no2,0.677913,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/556_analcatdata_apnea2,1.423182,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/557_analcatdata_apnea1,1.327174,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/560_bodyfat,0.089001,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/561_cpu,0.330828,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/562_cpu_small,0.236235,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/564_fried,0.295736,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/573_cpu_act,0.232393,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/574_house_16H,0.850105,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/659_sleuth_ex1714,0.533282,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/663_rabe_266,0.138907,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/665_sleuth_case2002,0.842150,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/666_rmftsa_ladata,0.652401,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/678_visualizing_environmental,0.721986,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/687_sleuth_ex1605,0.696108,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/690_visualizing_galaxy,0.186165,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/695_chatfield_4,0.666234,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/706_sleuth_case1202,0.611627,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/712_chscase_geyser1,0.441688,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/banana,0.762407,0
v4,f5068f5,SegGAM_ga2m_v4,pmlb/titanic,0.864836,0
v8,a7c5ecf,SegGAM_ga2m_v8,california,0.671350,0
v8,a7c5ecf,SegGAM_ga2m_v8,abalone,0.715632,0
v8,a7c5ecf,SegGAM_ga2m_v8,cpu_act,0.194317,0
v8,a7c5ecf,SegGAM_ga2m_v8,house_16H,0.800271,0
v8,a7c5ecf,SegGAM_ga2m_v8,elevators,0.396490,0
v8,a7c5ecf,SegGAM_ga2m_v8,pol,0.388091,0
v8,a7c5ecf,SegGAM_ga2m_v8,kin8nm,0.828388,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/1027_ESL,0.361403,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/1028_SWD,0.809480,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/1029_LEV,0.712670,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/1030_ERA,0.819571,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/1089_USCrime,0.333768,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/1096_FacultySalaries,0.391098,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/1191_BNG_pbc,0.884378,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/1193_BNG_lowbwt,0.669222,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/1196_BNG_pharynx,0.762125,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/1199_BNG_echoMonths,0.749261,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/1201_BNG_breastTumor,0.957013,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/1203_BNG_pwLinear,0.679227,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/1595_poker,1.011207,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/192_vineyard,0.482043,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/197_cpu_act,0.194317,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/201_pol,0.388091,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/210_cloud,0.272419,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/215_2dplanes,0.296061,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/218_house_8L,0.708020,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/225_puma8NH,0.667757,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/227_cpu_small,0.225792,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/228_elusage,0.504099,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/229_pwLinear,0.307898,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/230_machine_cpu,0.386476,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/294_satellite_image,0.443584,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/344_mv,0.120405,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/4544_GeographicalOriginalofMusic,0.635007,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/485_analcatdata_vehicle,0.793542,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/503_wind,0.466548,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/505_tecator,0.118958,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/519_vinnie,0.530918,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/522_pm10,0.913305,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/523_analcatdata_neavote,0.205261,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/527_analcatdata_election2000,0.805277,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/529_pollen,0.461841,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/537_houses,0.538214,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/542_pollution,1.006983,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/547_no2,0.681260,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/556_analcatdata_apnea2,1.423182,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/557_analcatdata_apnea1,1.327174,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/560_bodyfat,0.111088,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/561_cpu,0.309302,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/562_cpu_small,0.225792,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/564_fried,0.293767,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/573_cpu_act,0.194317,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/574_house_16H,0.847952,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/659_sleuth_ex1714,0.533282,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/663_rabe_266,0.101333,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/665_sleuth_case2002,0.892758,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/666_rmftsa_ladata,0.652401,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/678_visualizing_environmental,0.721986,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/687_sleuth_ex1605,0.602069,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/690_visualizing_galaxy,0.179558,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/695_chatfield_4,0.601701,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/706_sleuth_case1202,0.612298,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/712_chscase_geyser1,0.441688,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/banana,0.762264,0
v8,a7c5ecf,SegGAM_ga2m_v8,pmlb/titanic,0.862637,0
