suite,dataset,model,rmse,seconds
tabarena,airfoil,EBM,0.309105,2
tabarena,Fiat,EBM,0.404743,2
tabarena,concrete,EBM,0.231451,5
tabarena,diamonds,EBM,0.142507,7
tabarena,Food,EBM,0.789805,7
tabarena,healthcare,EBM,0.300200,1
tabarena,miami,EBM,0.280770,14
tabarena,protein,EBM,0.664299,18
tabarena,QSAR,EBM,0.499232,240
tabarena,fish,EBM,0.648123,1
tabarena,supercon,EBM,0.295311,97
tabarena,wine,EBM,0.734622,7
ctr23,auction_verification,EBM,0.170620,2
ctr23,solar_flare,EBM,0.977763,1
ctr23,naval_propulsion_plant,EBM,0.067237,32
ctr23,white_wine,EBM,0.733844,5
ctr23,red_wine,EBM,0.736631,4
ctr23,grid_stability,EBM,0.251538,10
ctr23,video_transcoding,EBM,0.343237,20
ctr23,wave_energy,EBM,0.013927,188
ctr23,sarcos,EBM,0.134867,77
ctr23,pumadyn32nh,EBM,0.627927,16
ctr23,cps88wages,EBM,0.797842,1
ctr23,socmob,EBM,0.500383,2
ctr23,kings_county,EBM,0.375275,12
ctr23,brazilian_houses,EBM,0.206133,5
ctr23,fps_benchmark,EBM,0.028947,31
ctr23,health_insurance,EBM,0.777064,3
ctr23,fifa,EBM,0.472835,9
ctr23,Moneyball,EBM,0.247889,4
ctr23,energy_efficiency,EBM,0.045388,1
ctr23,forest_fires,EBM,2.378184,3
ctr23,student_performance_por,EBM,0.848380,2
ctr23,cars,EBM,0.211780,2
ctr23,space_ga,EBM,0.547361,6
tabarena,airfoil,v48,0.314207,81
tabarena,Fiat,v48,0.399576,329
tabarena,concrete,v48,0.248682,106
tabarena,diamonds,v48,0.133765,375
tabarena,Food,v48,0.792019,729
tabarena,healthcare,v48,0.298202,64
tabarena,miami,v48,0.283208,3440
tabarena,protein,v48,0.659305,2785
tabarena,QSAR,v48,0.555632,2448
tabarena,fish,v48,0.644171,105
tabarena,supercon,v48,0.334268,5542
tabarena,wine,v48,0.731141,3589
ctr23,auction_verification,v48,0.136964,41
ctr23,solar_flare,v48,0.965648,6
ctr23,naval_propulsion_plant,v48,0.045347,3530
ctr23,white_wine,v48,0.708630,2607
ctr23,red_wine,v48,0.686366,2426
ctr23,grid_stability,v48,0.247548,3776
ctr23,video_transcoding,v48,0.265946,580
ctr23,wave_energy,v48,0.028989,5267
ctr23,sarcos,v48,0.157006,5232
ctr23,pumadyn32nh,v48,0.599430,5430
ctr23,cps88wages,v48,0.809978,28
ctr23,socmob,v48,0.386657,26
ctr23,kings_county,v48,0.318917,2877
ctr23,brazilian_houses,v48,0.121329,112
ctr23,fps_benchmark,v48,0.039516,769
ctr23,health_insurance,v48,0.775219,68
ctr23,fifa,v48,0.582897,2429
ctr23,Moneyball,v48,0.245954,440
ctr23,energy_efficiency,v48,0.082225,12
ctr23,forest_fires,v48,2.442939,42
ctr23,student_performance_por,v48,0.850551,9
ctr23,cars,v48,0.220010,7
ctr23,space_ga,v48,0.495170,1293
tabarena,airfoil,v47,0.313001,100
tabarena,Fiat,v47,0.397429,352
tabarena,concrete,v47,0.265456,31
tabarena,diamonds,v47,0.133617,411
tabarena,Food,v47,0.790562,738
tabarena,healthcare,v47,0.298608,80
tabarena,miami,v47,0.282052,3438
tabarena,protein,v47,0.659407,2813
tabarena,QSAR,v47,0.573164,2280
tabarena,fish,v47,0.649941,23
tabarena,supercon,v47,0.334113,5007
tabarena,wine,v47,0.728460,3227
ctr23,auction_verification,v47,0.136344,51
ctr23,solar_flare,v47,0.964233,4
ctr23,naval_propulsion_plant,v47,0.044470,3183
ctr23,white_wine,v47,0.705480,2549
ctr23,red_wine,v47,0.700313,2315
ctr23,grid_stability,v47,0.246769,3937
ctr23,video_transcoding,v47,0.262155,600
ctr23,wave_energy,v47,0.029049,5559
ctr23,sarcos,v47,0.157424,5561
ctr23,pumadyn32nh,v47,0.598154,5431
ctr23,cps88wages,v47,0.809916,27
ctr23,socmob,v47,0.454227,8
ctr23,kings_county,v47,0.317779,2811
ctr23,brazilian_houses,v47,0.121588,121
ctr23,fps_benchmark,v47,0.040278,731
ctr23,health_insurance,v47,0.774651,70
ctr23,fifa,v47,0.634826,2018
ctr23,Moneyball,v47,0.250396,63
ctr23,energy_efficiency,v47,0.081037,6
ctr23,forest_fires,v47,2.431808,39
ctr23,student_performance_por,v47,0.880995,7
ctr23,cars,v47,0.220643,6
ctr23,space_ga,v47,0.496386,874
ctr23,fps_benchmark,v49h,0.027500,1445
ctr23,sarcos,v49h,0.145700,6195
tabarena,airfoil,v49h,0.314207,107
tabarena,Fiat,v49h,0.399574,396
tabarena,concrete,v49h,0.248682,136
tabarena,diamonds,v49h,0.131879,1036
tabarena,Food,v49h,0.791967,1045
tabarena,healthcare,v49h,0.298202,69
tabarena,miami,v49h,0.277546,4433
tabarena,protein,v49h,0.654717,4047
tabarena,QSAR,v49h,0.555526,2590
tabarena,fish,v49h,0.644171,116
ctr23,fifa,v49h,0.552300,2403
tabarena,supercon,v49h,0.287200,8910
tabarena,wine,v49h,0.719033,4860
ctr23,auction_verification,v49h,0.136964,43
ctr23,solar_flare,v49h,0.965648,7
ctr23,naval_propulsion_plant,v49h,0.030695,4945
ctr23,white_wine,v49h,0.695708,5483
ctr23,red_wine,v49h,0.685534,1819
ctr23,grid_stability,v49h,0.254131,6237
ctr23,video_transcoding,v49h,0.167698,1331
ctr23,pumadyn32nh,v49h,0.623679,6080
ctr23,cps88wages,v49h,0.809978,31
ctr23,socmob,v49h,0.386657,29
ctr23,kings_county,v49h,0.323173,2896
ctr23,brazilian_houses,v49h,0.120923,130
ctr23,health_insurance,v49h,0.774922,83
ctr23,Moneyball,v49h,0.245954,471
ctr23,energy_efficiency,v49h,0.082225,13
ctr23,forest_fires,v49h,2.442939,46
ctr23,student_performance_por,v49h,0.850551,10
ctr23,cars,v49h,0.220010,8
ctr23,wave_energy,v49h,0.035500,10982
ctr23,space_ga,v49h,0.495170,893
