model,dataset,n,p,lam,objective,errors,leaves,seconds,wall,status,size,iterations,binary_features,lb,ub,known_objective,known_certified,verdict
gosdt,chudi,,,0.1,0.464935064935065,5.0,4.0,0.002,,optimal,,,,,,0.464935,True,ok
gosdt,chudi,,,0.05,0.25,0.0,5.0,0.043,,optimal,,,,,,0.25,True,ok
gosdt,chudi,,,0.02,0.1,0.0,5.0,0.567,,optimal,,,,,,0.1,True,ok
gosdt,chudi,,,0.01,0.05,0.0,5.0,1.344,,optimal,,,,,,0.05,True,ok
gosdt,chudi,,,0.005,0.025,0.0,5.0,1.821,,optimal,,,,,,0.025,True,ok
gosdt,monk_3,,,0.1,0.5213114754098361,27.0,3.0,0.0,,optimal,,,,,,0.521311,True,ok
gosdt,monk_3,,,0.05,0.3713114754098361,27.0,3.0,0.005,,optimal,,,,,,0.371311,True,ok
gosdt,monk_3,,,0.02,0.2429508196721311,15.0,6.0,0.053,,optimal,,,,,,0.242951,True,ok
gosdt,monk_3,,,0.01,0.1555737704918032,8.0,9.0,0.264,,optimal,,,,,,0.155574,True,ok
gosdt,monk_3,,,0.005,0.0945901639344262,3.0,14.0,1.006,,optimal,,,,,,0.09459,True,ok
gosdt,monk_1,,,0.1,0.4661290322580645,33.0,2.0,0.0,,optimal,,,,,,0.466129,True,ok
gosdt,monk_1,,,0.05,0.3387096774193548,11.0,5.0,0.002,,optimal,,,,,,0.33871,True,ok
gosdt,monk_1,,,0.02,0.16,0.0,8.0,0.053,,optimal,,,,,,0.16,True,ok
gosdt,monk_1,,,0.01,0.08,0.0,8.0,0.246,,optimal,,,,,,0.08,True,ok
gosdt,monk_1,,,0.005,0.04,0.0,8.0,0.771,,optimal,,,,,,0.04,True,ok
gosdt,iris,,,0.1,0.34,6.0,3.0,0.128,,optimal,,,,,,0.34,True,ok
gosdt,iris,,,0.05,0.19,6.0,3.0,2.143,,optimal,,,,,,0.19,True,ok
gosdt,iris,,,0.02,0.1,3.0,4.0,16.426,,optimal,,,,,,0.1,True,ok
gosdt,iris,,,0.01,0.06,3.0,4.0,30.0,,time,,,,,,0.06,True,ok
gosdt,iris,,,0.005,0.045,3.0,5.0,30.0,,time,,,,,,0.038333,True,worse_than_known
gosdt,monk_2,,,0.1,0.478698224852071,64.0,1.0,0.0,,optimal,,,,,,0.478698,True,ok
gosdt,monk_2,,,0.05,0.428698224852071,64.0,1.0,0.005,,optimal,,,,,,0.428698,True,ok
gosdt,monk_2,,,0.02,0.3589349112426035,37.0,7.0,0.075,,optimal,,,,,,0.358935,True,ok
gosdt,monk_2,,,0.01,0.2650887573964497,11.0,20.0,0.444,,optimal,,,,,,0.265089,True,ok
gosdt,monk_2,,,0.005,0.1527514792899408,3.0,27.0,1.858,,optimal,,,,,,0.152751,True,ok
gosdt,tic-tac-toe,,,0.1,0.4465553235908142,332.0,1.0,0.002,,optimal,,,,,,0.446555,True,ok
gosdt,tic-tac-toe,,,0.05,0.3965553235908142,332.0,1.0,0.163,,optimal,,,,,,0.396555,True,ok
gosdt,tic-tac-toe,,,0.02,0.3245929018789144,196.0,6.0,19.608,,optimal,,,,,,0.31833,True,WRONG
gosdt,tic-tac-toe,,,0.01,0.2507515657620042,154.0,9.0,30.0,,time,,,,,,0.250752,True,ok
gosdt,tic-tac-toe,,,0.005,,,,30.0,,memory,,,,,,0.15428,True,no_tree
gosdt,gaussian_1k,,,0.1,0.397,297.0,1.0,0.152,,optimal,,,,,,0.397,True,ok
