dataset,lam,objective,certified,source
chudi,0.1,0.464935,True,gosdt
chudi,0.05,0.25,True,gosdt
chudi,0.02,0.1,True,gosdt
chudi,0.01,0.05,True,gosdt
chudi,0.005,0.025,True,gosdt
monk_3,0.1,0.521311,True,gosdt
monk_3,0.05,0.371311,True,gosdt
monk_3,0.02,0.2429508196721311,True,gosdt
monk_3,0.01,0.1555737704918032,True,gosdt
monk_3,0.005,0.09459,True,gosdt
monk_1,0.1,0.466129,True,gosdt
monk_1,0.05,0.3387096774193548,True,gosdt
monk_1,0.02,0.16,True,gosdt
monk_1,0.01,0.08,True,gosdt
monk_1,0.005,0.04,True,gosdt
iris,0.1,0.34,True,gosdt
iris,0.05,0.19,True,gosdt
iris,0.02,0.1,True,gosdt
iris,0.01,0.06,True,gosdt
iris,0.005,0.038333,True,pygosdt_v1
monk_2,0.1,0.478698,True,gosdt
monk_2,0.05,0.428698,True,gosdt
monk_2,0.02,0.3589349112426035,True,gosdt
monk_2,0.01,0.2650887573964497,True,gosdt
monk_2,0.005,0.152751,True,gosdt
tic-tac-toe,0.1,0.446555,True,gosdt
tic-tac-toe,0.05,0.396555,True,gosdt
tic-tac-toe,0.02,0.3183298538622129,True,pygosdt_v1
tic-tac-toe,0.01,0.2507515657620042,True,gosdt
tic-tac-toe,0.005,0.1542797494780793,True,pygosdt_v1
gaussian_1k,0.1,0.397,True,gosdt
gaussian_1k,0.05,0.275,True,gosdt
gaussian_1k,0.02,0.185,True,pygosdt_v1
gaussian_1k,0.01,0.155,True,pygosdt_v1
gaussian_1k,0.005,0.14,True,pygosdt_v1
fico_1k,0.1,0.491,True,pygosdt_v1
fico_1k,0.05,0.391,False,gosdt
fico_1k,0.02,0.331,False,pygosdt_v1
fico_1k,0.01,0.304,False,gosdt_guesses_guided
fico_1k,0.005,0.284,False,gosdt_guesses_guided
sine_1k,0.1,0.595,True,pygosdt_v1
sine_1k,0.05,0.545,True,pygosdt_v1
sine_1k,0.02,0.494,True,gosdt
sine_1k,0.01,0.429,True,split
sine_1k,0.005,0.269,True,split
car_evaluation,0.1,0.3997685185185186,True,gosdt
car_evaluation,0.05,0.2946759259259259,True,gosdt
car_evaluation,0.02,0.2046759259259259,True,gosdt
car_evaluation,0.01,0.145231,True,gosdt
car_evaluation,0.005,0.1063425925925926,True,gosdt
coupon_bar,0.1,0.511918,True,gosdt
coupon_bar,0.05,0.453894,True,gosdt
coupon_bar,0.02,0.3715525352848928,True,gosdt
coupon_bar,0.01,0.3410977522216414,True,gosdt
coupon_bar,0.005,0.3186199686356508,True,gosdt
compas_binned,0.1,0.5610829593166353,True,gosdt
compas_binned,0.05,0.4610829593166353,True,gosdt
compas_binned,0.02,0.4010829593166353,True,gosdt
compas_binned,0.01,0.3748675256985666,True,gosdt
compas_binned,0.005,0.355968582597365,True,gosdt
sine_10k,0.1,0.5996,False,pygosdt_v1
sine_10k,0.05,0.5496,False,pygosdt_v1
sine_10k,0.02,0.5181,False,pygosdt_v1
sine_10k,0.01,0.4968,False,gosdt_guesses_guided
sine_10k,0.005,0.4768,False,gosdt_guesses_guided
fico_binary,0.1,0.504044,True,gosdt
fico_binary,0.05,0.404044,True,gosdt
fico_binary,0.02,0.344044,True,gosdt
fico_binary,0.01,0.324044,True,gosdt
fico_binary,0.005,0.308650922650349,True,gosdt
compas_processed,0.1,0.411364,True,gosdt
compas_processed,0.05,0.361364,True,streed
compas_processed,0.02,0.32786,False,pygosdt_v1
compas_processed,0.01,0.30786,False,pygosdt_v1
compas_processed,0.005,0.29786,False,pygosdt_v1
