dataset,model,rmse,rank
abalone,PyGAM,0.705364,11
abalone,DT_mini,0.794185,55
abalone,DT_large,0.797057,56
abalone,OLS,0.721231,40
abalone,LassoCV,0.720338,37
abalone,RidgeCV,0.721876,42
abalone,RF,0.732093,47
abalone,GBM,0.735919,48
abalone,MLP,0.708886,14
abalone,FIGS_mini,0.793158,54
abalone,FIGS_large,0.801452,58
abalone,RuleFit,0.784597,53
abalone,HSTree_mini,0.800492,57
abalone,HSTree_large,0.769955,51
abalone,EBM,0.710895,17
abalone,TabPFN,0.670875,1
abalone,DecisionTreeSimple,0.804593,59
abalone,SparseRuleEq_v1,0.712017,21
abalone,ResidStumpLinear_v1,0.717514,28
abalone,SparseAdaBasis_v1,0.721044,39
abalone,HierHingeSparse_v1,0.718464,29
abalone,StabAffineSparse_v1,0.720126,34
abalone,StageHingeAdd_v1,0.838449,60
abalone,SparseAffineResid_v1,0.718640,30
abalone,OrthSparseHinge_v1,0.714999,25
abalone,AffineResidSymbolic_v1,0.696816,3
abalone,DistilledResidRidge_v1,0.717263,27
abalone,GroupSparseSignedAdd_v1,0.868147,61
abalone,OneSplitSparseAffine_v1,0.721734,41
abalone,SparseAtomHybrid_v1,0.706360,12
abalone,PrunedSplineAdd_v1,0.706615,13
abalone,ZeroAnchorHinge_v1,0.701144,8
abalone,SparseLinStumps_v1,0.730806,45
abalone,SparseSymbolicResidual_v1,0.722261,44
abalone,SparseResidualOneTerm_v1,0.712618,23
abalone,CalibratedRidgeHinge_v1,0.712430,22
abalone,DistilledSparseCalHinge_v1,0.713867,24
abalone,AdaptiveSparseHingeRidge_v1,0.711576,20
abalone,SparseScoreCalRidge_v1,0.719281,32
abalone,DominantHingeRidge_v1,0.715822,26
abalone,SparsePoly1_v1,0.711294,19
abalone,HybridNormalSparseBoost_v1,0.719857,33
abalone,ProbeAwareSymbolicBoost_v1,0.740729,49
abalone,SparseSplineAtom_v1,0.773126,52
abalone,DenseAddHinge_v1,0.701143,7
abalone,RidgeStepShift_v1,0.720734,38
abalone,AdaptiveSparseRidgeEq_v1,0.720315,36
abalone,ResidualAtomRidge_v1,0.718998,31
abalone,SparseMedianHingeGAM_v1,0.720126,35
abalone,SplitAffineRidge_v1,0.702300,9
abalone,BaggedMedianRidge_v1,0.762320,50
abalone,ResidualSparseEq_v1,0.721876,43
abalone,SparseMedianKnotAdd_v1,0.710970,18
abalone,ProbeCalBlend_v1,0.703623,10
abalone,ProbeBoostLookup_v1,0.731632,46
abalone,RegimeGatedAtlas_v1,0.709096,15
abalone,StackedResidualAtlas_v1,,
abalone,StackedResidualAtlas_v4,0.696045,2
abalone,RegimeAtlasBlend_v1,0.696996,5
abalone,DualTargetAtlas_v1,0.698981,6
abalone,WarpedSplineAtlas_v1,,
abalone,ProbeCalibratedBoosting_v1,0.696953,4
abalone,ChannelGatedResidualAtlas_v1,0.709240,16
california,PyGAM,1.428598,29
california,DT_mini,0.797055,20
california,DT_large,0.784121,18
california,OLS,2.191360,53
california,LassoCV,2.087627,42
california,RidgeCV,2.178053,50
california,RF,0.718275,10
california,GBM,0.650275,6
california,MLP,1.088485,28
california,FIGS_mini,0.754661,15
california,FIGS_large,0.737994,12
california,RuleFit,0.741651,13
california,HSTree_mini,0.795105,19
california,HSTree_large,0.768189,17
california,EBM,0.660017,8
california,TabPFN,0.603801,1
california,DecisionTreeSimple,0.806478,21
california,SparseRuleEq_v1,2.055210,38
california,ResidStumpLinear_v1,2.182713,51
california,SparseAdaBasis_v1,0.721337,11
california,HierHingeSparse_v1,1.962922,37
california,StabAffineSparse_v1,2.191701,54
california,StageHingeAdd_v1,0.834169,23
california,SparseAffineResid_v1,2.080656,40
california,OrthSparseHinge_v1,2.132434,47
california,AffineResidSymbolic_v1,1.933862,36
california,DistilledResidRidge_v1,2.191355,52
california,GroupSparseSignedAdd_v1,13.831505,61
california,OneSplitSparseAffine_v1,2.116432,45
california,SparseAtomHybrid_v1,2.871026,59
california,PrunedSplineAdd_v1,1.451596,30
california,ZeroAnchorHinge_v1,1.532325,31
california,SparseLinStumps_v1,2.108239,44
california,SparseSymbolicResidual_v1,2.876843,60
california,SparseResidualOneTerm_v1,1.924053,35
california,CalibratedRidgeHinge_v1,1.895411,34
california,DistilledSparseCalHinge_v1,1.879043,32
california,AdaptiveSparseHingeRidge_v1,2.097141,43
california,SparseScoreCalRidge_v1,0.891481,26
california,DominantHingeRidge_v1,2.197581,55
california,SparsePoly1_v1,1.883362,33
california,HybridNormalSparseBoost_v1,0.643174,4
california,ProbeAwareSymbolicBoost_v1,0.653305,7
california,SparseSplineAtom_v1,0.819632,22
california,DenseAddHinge_v1,0.711061,9
california,RidgeStepShift_v1,2.125096,46
california,AdaptiveSparseRidgeEq_v1,2.142848,49
california,ResidualAtomRidge_v1,2.201159,58
california,SparseMedianHingeGAM_v1,2.199958,56
california,SplitAffineRidge_v1,2.059869,39
california,BaggedMedianRidge_v1,2.201017,57
california,ResidualSparseEq_v1,2.137379,48
california,SparseMedianKnotAdd_v1,2.087127,41
california,ProbeCalBlend_v1,0.843864,24
california,ProbeBoostLookup_v1,0.637326,3
california,RegimeGatedAtlas_v1,0.631103,2
california,StackedResidualAtlas_v1,,
california,StackedResidualAtlas_v4,0.759858,16
california,RegimeAtlasBlend_v1,0.955110,27
california,DualTargetAtlas_v1,0.745009,14
california,WarpedSplineAtlas_v1,,
california,ProbeCalibratedBoosting_v1,0.878160,25
california,ChannelGatedResidualAtlas_v1,0.646310,5
cpu_act,PyGAM,0.173718,14
cpu_act,DT_mini,0.253144,30
cpu_act,DT_large,0.226447,24
cpu_act,OLS,0.565065,43
cpu_act,LassoCV,0.742457,48
cpu_act,RidgeCV,0.559656,39
cpu_act,RF,0.199308,17
cpu_act,GBM,0.158850,5
cpu_act,MLP,912.810974,61
cpu_act,FIGS_mini,0.239842,26
cpu_act,FIGS_large,0.199590,19
cpu_act,RuleFit,0.318561,32
cpu_act,HSTree_mini,0.253052,29
cpu_act,HSTree_large,0.224038,23
cpu_act,EBM,0.167552,10
cpu_act,TabPFN,0.138888,1
cpu_act,DecisionTreeSimple,0.248805,28
cpu_act,SparseRuleEq_v1,0.254219,31
cpu_act,ResidStumpLinear_v1,0.525344,36
cpu_act,SparseAdaBasis_v1,0.206621,20
cpu_act,HierHingeSparse_v1,0.212286,21
cpu_act,StabAffineSparse_v1,0.557784,37
cpu_act,StageHingeAdd_v1,1.077393,55
cpu_act,SparseAffineResid_v1,0.221576,22
cpu_act,OrthSparseHinge_v1,0.237137,25
cpu_act,AffineResidSymbolic_v1,0.559963,41
cpu_act,DistilledResidRidge_v1,0.559762,40
cpu_act,GroupSparseSignedAdd_v1,1.039416,54
cpu_act,OneSplitSparseAffine_v1,0.769115,49
cpu_act,SparseAtomHybrid_v1,0.925412,52
cpu_act,PrunedSplineAdd_v1,0.434661,34
cpu_act,ZeroAnchorHinge_v1,0.662945,47
cpu_act,SparseLinStumps_v1,0.604275,44
cpu_act,SparseSymbolicResidual_v1,0.902718,51
cpu_act,SparseResidualOneTerm_v1,1.320794,57
cpu_act,CalibratedRidgeHinge_v1,0.187821,16
cpu_act,DistilledSparseCalHinge_v1,0.199568,18
cpu_act,AdaptiveSparseHingeRidge_v1,0.388163,33
cpu_act,SparseScoreCalRidge_v1,0.560117,42
cpu_act,DominantHingeRidge_v1,2.179526,59
cpu_act,SparsePoly1_v1,6.195208,60
cpu_act,HybridNormalSparseBoost_v1,0.156834,3
cpu_act,ProbeAwareSymbolicBoost_v1,0.159975,8
cpu_act,SparseSplineAtom_v1,1.027113,53
cpu_act,DenseAddHinge_v1,0.179434,15
cpu_act,RidgeStepShift_v1,0.447277,35
cpu_act,AdaptiveSparseRidgeEq_v1,0.559604,38
cpu_act,ResidualAtomRidge_v1,0.901337,50
cpu_act,SparseMedianHingeGAM_v1,1.263575,56
cpu_act,SplitAffineRidge_v1,1.979660,58
cpu_act,BaggedMedianRidge_v1,0.633884,45
cpu_act,ResidualSparseEq_v1,0.246952,27
cpu_act,SparseMedianKnotAdd_v1,0.654411,46
cpu_act,ProbeCalBlend_v1,0.169335,12
cpu_act,ProbeBoostLookup_v1,0.153764,2
cpu_act,RegimeGatedAtlas_v1,0.167882,11
cpu_act,StackedResidualAtlas_v1,,
cpu_act,StackedResidualAtlas_v4,0.158598,4
cpu_act,RegimeAtlasBlend_v1,0.159354,7
cpu_act,DualTargetAtlas_v1,0.160575,9
cpu_act,WarpedSplineAtlas_v1,,
cpu_act,ProbeCalibratedBoosting_v1,0.159090,6
cpu_act,ChannelGatedResidualAtlas_v1,0.173487,13
elevators,PyGAM,0.375632,3
elevators,DT_mini,0.743616,40
elevators,DT_large,0.704357,36
elevators,OLS,0.903981,50
elevators,LassoCV,0.904215,51
elevators,RidgeCV,0.876481,46
elevators,RF,0.623118,31
elevators,GBM,0.522039,29
elevators,MLP,0.983679,54
elevators,FIGS_mini,0.748350,41
elevators,FIGS_large,0.676476,32
elevators,RuleFit,0.679608,33
elevators,HSTree_mini,0.751891,42
elevators,HSTree_large,0.723031,38
elevators,EBM,0.397748,7
elevators,TabPFN,0.292012,1
elevators,DecisionTreeSimple,0.726676,39
elevators,SparseRuleEq_v1,0.464510,22
elevators,ResidStumpLinear_v1,0.415660,11
elevators,SparseAdaBasis_v1,0.512768,27
elevators,HierHingeSparse_v1,0.413876,10
elevators,StabAffineSparse_v1,0.430064,16
elevators,StageHingeAdd_v1,0.988616,55
elevators,SparseAffineResid_v1,0.878864,47
elevators,OrthSparseHinge_v1,0.880537,48
elevators,AffineResidSymbolic_v1,0.803634,44
elevators,DistilledResidRidge_v1,0.803634,45
elevators,GroupSparseSignedAdd_v1,0.929896,52
elevators,OneSplitSparseAffine_v1,1.141323,58
elevators,SparseAtomHybrid_v1,0.890465,49
elevators,PrunedSplineAdd_v1,0.453164,21
elevators,ZeroAnchorHinge_v1,0.772767,43
elevators,SparseLinStumps_v1,0.714673,37
elevators,SparseSymbolicResidual_v1,0.430538,17
elevators,SparseResidualOneTerm_v1,0.695946,35
elevators,CalibratedRidgeHinge_v1,0.393674,5
elevators,DistilledSparseCalHinge_v1,0.395130,6
